ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJwcIl25Kj6IgRmhvuFDY2jig,Heartwood Soundstage,"619 S Main St, Gainesville, FL 32601, United States",(352) 448-4849,http://www.heartwoodsoundstage.com/,Gainesville
ChIJLVMXTXaj6IgRpk445F8Q8ow,Reitz Union Amphitheater,"University of Florida, Gainesville, FL 32603, United States",(352) 392-1645,https://union.ufl.edu/event-services/our-spaces/,Gainesville
ChIJ0eY99h2k6IgRBvM-ZQltMk8,Lightnin' Salvage Enterprises,"1800 NE 23rd Ave, Gainesville, FL 32609, United States",(352) 395-6622,http://lightninsalvage.com/,Gainesville
ChIJXzqBxxSj6IgRU2IaUzNKHgc,Vivid Music Hall,"201 W University Ave, Gainesville, FL 32601, United States",,https://www.vividmusichall.com/,Gainesville
ChIJo1nbRoyj6IgR8T3tIFARSSI,Florida Theater,"233 W University Ave, Gainesville, FL 32601, United States",(904) 355-5661,https://www.floridatheatre.com/,Gainesville
ChIJ8fqT-4yj6IgRzHz1ig4CzBI,The Bull,"18 SW 1st Ave, Gainesville, FL 32601, United States",(352) 672-6266,http://www.thebull-gnv.com/,Gainesville
ChIJMS-RVoyj6IgRzqu7a1PUf4c,Loosey's Downtown Gainesville,"120 SW 1st Ave, Gainesville, FL 32601, United States",(352) 672-6465,http://www.looseys.com/,Gainesville
ChIJcRYsM_Oj6IgRWocTBP6Idsg,Bo Diddley Plaza,"111 E University Ave, Gainesville, FL 32601, United States",(352) 393-8202,https://www.gainesvillefl.gov/Venues/Bo-Diddley-Plaza,Gainesville
ChIJgWr2k4yj6IgROMScZaum5k0,The Wooly,"20 N Main St, Gainesville, FL 32601, United States",(352) 278-1178,https://www.thetopsecretevents.com/the-wooly,Gainesville
ChIJTfruNo2j6IgRVxCVkN7eI0k,Hippodrome Theatre,"25 SE 2nd Pl, Gainesville, FL 32601, United States",(352) 375-4477,http://www.thehipp.org/,Gainesville
ChIJpRSBsY2j6IgRugXoTUGeRIc,High Dive,"210 SW 2nd Ave, Gainesville, FL 32601, United States",(352) 872-5949,http://highdivegainesville.com/,Gainesville
ChIJrfcQMimn6IgRgc9w1chdSdM,Vivid Warehouse,"1950 NE 27th Ave, Gainesville, FL 32609, United States",,http://vividskyvertical.com/,Gainesville
