ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJhQ33QVuj6IgRQ-jbjvT7qE4,Corks & Colors Studio,"3415 W University Ave, Gainesville, FL 32607, United States",(352) 373-8847,http://www.corkscolors.com/,Gainesville
ChIJMZ0YT62k6IgRnOeuCVJmzqg,Artisans' Guild Gallery,"224 NW 2 Ave, Gainesville, FL 32601, United States",(352) 378-1383,http://www.artisansguildgallery.com/,Gainesville
ChIJV1saDj-j6IgRCzNOsYSBymw,Harn Museum of Art,"3259 Hull Rd, Gainesville, FL 32608, United States",(352) 392-9826,https://harn.ufl.edu/,Gainesville
ChIJodJjhYqj6IgRjr9lDEvWkm0,Art Alley Studio,"717 NW 1st St, Gainesville, FL 32601, United States",(352) 281-6240,http://www.artalleystudio.com/,Gainesville
ChIJ9RbCvZWj6IgRn7PysJWYZvA,GFAA Gallery - Gainesville Fine Arts Association,"1314 S Main St #2, Gainesville, FL 32601, United States",(352) 328-5027,http://gainesvillefinearts.org/,Gainesville
ChIJLTXU16O86IgRbR6KpxJn8xQ,Painting with a Twist,"618 NW 60th St # B, Gainesville, FL 32607, United States",(352) 505-6778,https://www.paintingwithatwist.com/studio/gainesville/,Gainesville
ChIJqdK3FfWj6IgRWutG7CpuNy4,Thomas Center,"302 NE 6th Ave, Gainesville, FL 32601, United States",(352) 334-5067,http://www.historicthomascenter.org/,Gainesville
ChIJQ1Q3zfKj6IgRijqpBHXA2V0,Black C Art Gallery,"201 SE 2nd Pl #111, Gainesville, FL 32601, United States",(352) 469-6278,http://blackcproduction.com/,Gainesville
ChIJ_akqn6Cm6IgRrWru05mPj2E,Studio TM Ceramics,"1854 NE 2nd St A, Gainesville, FL 32609, United States",(352) 284-2206,https://www.studiotmceramics.com/,Gainesville
ChIJV5z2YEW76IgRk7ALRdSR8X4,Santa Fe College Art Gallery,"3000 NW 83 St Building M, Room 147, Gainesville, FL 32606, United States",(352) 395-5464,https://www.sfcollege.edu/finearts/venues/galleries/,Gainesville
ChIJS_UFp5Kj6IgRDK0RmxSc-4U,Sequential Artists Workshop,"1314 S Main St #2, Gainesville, FL 32601, United States",(352) 234-6729,http://sequentialartistsworkshop.org/,Gainesville
ChIJVyTqjpuj6IgRkconhNL4tOU,University Gallery,"400 SW 13th St # B, Gainesville, FL 32611, United States",(352) 273-3000,https://www.universitygalleriesufl.com/,Gainesville
ChIJTfruNo2j6IgRVxCVkN7eI0k,Hippodrome Theatre,"25 SE 2nd Pl, Gainesville, FL 32601, United States",(352) 375-4477,http://www.thehipp.org/,Gainesville
ChIJ3Zb-Lm6k6IgR9hEmgqRXcPY,Charlie Cummings Gallery,"nw, 2040 NW 6th St, Gainesville, FL 32609, United States",(352) 810-0171,http://www.charliecummingsgallery.com/,Gainesville
ChIJv-AQuBSj6IgR63WspiH58iI,Curtis M. Phillips Center for the Performing Arts,"3201 Hull Rd, Gainesville, FL 32611, United States",(352) 392-2787,https://performingarts.ufl.edu/,Gainesville
ChIJkwUtSe6j6IgRvVPNiMab8HY,The Cotton Club Museum and Cultural Center,"837 SE 7th Ave, Gainesville, FL 32601, United States",(352) 226-8321,http://www.cottonclubmuseum.com/,Gainesville
ChIJwfvmYhal6IgRCXLv9f32ZQ8,La Selva Art Studios,"3146 NW 13th St, Gainesville, FL 32609, United States",(407) 451-9107,https://www.laselvaartstudios.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5504864143757806878,Gainesville
