ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJrUKhbOij6IgRKzTTTIpybCU,Kin Cocktail Bar & Lounge,"9 W University Ave, Gainesville, FL 32601, United States",(352) 235-9021,https://kin.bar/,Gainesville
ChIJVcxAPo2j6IgRAHczJMaDywg,The Midnight Underground,"101 SE 2nd Pl #100, Gainesville, FL 32601, United States",(352) 672-6113,,Gainesville
ChIJpRSBsY2j6IgRugXoTUGeRIc,High Dive,"210 SW 2nd Ave, Gainesville, FL 32601, United States",(352) 872-5949,http://highdivegainesville.com/,Gainesville
ChIJ8fqT-4yj6IgRzHz1ig4CzBI,The Bull,"18 SW 1st Ave, Gainesville, FL 32601, United States",(352) 672-6266,http://www.thebull-gnv.com/,Gainesville
ChIJMS-RVoyj6IgRzqu7a1PUf4c,Loosey's Downtown Gainesville,"120 SW 1st Ave, Gainesville, FL 32601, United States",(352) 672-6465,http://www.looseys.com/,Gainesville
ChIJ1TQsf4Kj6IgRrNWM6dG-KhI,Salty Dog Saloon,"1712 W University Ave, Gainesville, FL 32603, United States",(352) 375-6969,http://www.saltydogsaloon.com/,Gainesville
ChIJfzM7wIyj6IgRBdNiPqiE4g0,Arcade Bar,"15 N Main St, Gainesville, FL 32601, United States",,http://www.facebook.com/arcadebargainesville/,Gainesville
ChIJKdD0v4yj6IgRSUVp_HfnD94,The Dime,"4 E University Ave, Gainesville, FL 32601, United States",,,Gainesville
ChIJIwdnzsWj6IgRm5-DN5qhQZI,Capones GNV,"104 S Main St, Gainesville, FL 32601, United States",(352) 505-9119,http://caponesnightclub.com/,Gainesville
ChIJ1UDRYaem6IgRp0ptd1AxDvY,Ole Barn,"1791 NE 23rd Ave, Gainesville, FL 32609, United States",,,Gainesville
ChIJPS0RhHij6IgRYdUd0BbiSzo,MacDinton's GNV,"1728 W University Ave, Gainesville, FL 32603, United States",(352) 373-7383,https://macdintons.com/macdintons-gainesville/,Gainesville
ChIJe0sqW36j6IgRPlgdRCPY-YU,The Fox Lounge,"109 S Main St, Gainesville, FL 32601, United States",(352) 792-6677,https://www.facebook.com/foxloungegnv,Gainesville
ChIJW1FjsMyj6IgRznPCOgyMQX0,Ford's Garage Gainesville,"3650 SW 32nd Ct Suite 20, Gainesville, FL 32608, United States",(352) 657-3673,https://www.fordsgarageusa.com/locations/gainesville/,Gainesville
