ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJeSPyiSG96IgR2jOXrLAuHO4,Kanapaha Botanical Gardens,"4700 SW 58th Dr, Gainesville, FL 32608, United States",(352) 372-4981,http://www.kanapaha.org/,Gainesville
ChIJKUp30Je76IgRDgQtHIy2kmk,The Gainesville Garden Club,"1350 NW 75th St, Gainesville, FL 32605, United States",(352) 331-0426,https://www.ggcfl.org/,Gainesville
ChIJfRBfiGsl74gRmQ-SRzXgVYU,Hearthstone Botanical Gardens,"3300 134th Pl, Wellborn, FL 32094, United States",(386) 438-3102,https://www.hearthstonebotanicalgardens.org/,Gainesville
ChIJVbbR8CS96IgRyRG-aPfIfYk,Kanapaha Botanical Gardens,"4700 SW 58th Dr, Gainesville, FL 32608, United States",(352) 372-4981,http://www.kanapaha.org/,Gainesville
ChIJq6BuvGy76IgR-AJj6SUeAJY,Bonne et Belle,"8504 NW 43rd St, Gainesville, FL 32653, United States",,http://www.bonneetbelle.com/,Gainesville
ChIJtQN6MgOS6IgRe6LWCjnQNMw,Cedar Lakes Woods and Gardens,"4990 NE 180th Ave, Williston, FL 32696, United States",(352) 529-0055,https://www.cedarlakeswoodsandgarden.com/,Gainesville
ChIJwQrTv3Sj6IgR8i01sU0m8cc,Wilmot Gardens,"2023 Mowry Rd, Gainesville, FL 32610, United States",(352) 273-5832,http://wilmotgardens.med.ufl.edu/contact/,Gainesville
ChIJqdK3FfWj6IgRWutG7CpuNy4,Thomas Center,"302 NE 6th Ave, Gainesville, FL 32601, United States",(352) 334-5067,http://www.historicthomascenter.org/,Gainesville
ChIJuWtcCEqh6IgRk9ow0lfVBqU,Morningside Nature Center,"3540 E University Ave, Gainesville, FL 32641, United States",(352) 393-8240,https://www.gainesvillefl.gov/Parks/Morningside-Nature-Center,Gainesville
ChIJKW06x2Gj6IgR-iSbJWm73Ko,Loblolly Woods Nature Park,"3315 NW 5th Ave, Gainesville, FL 32607, United States",(352) 334-5067,http://www.cityofgainesville.org/tabid/182/Default.aspx#LoblollyWoods,Gainesville
ChIJG4zJ_T6j6IgRgMdxRPpp5-M,Butterfly Rainforest at the Florida Museum of Natural History,"3215 Hull Rd, Gainesville, FL 32611, United States",(352) 846-2000,https://www.floridamuseum.ufl.edu/,Gainesville
ChIJ2za8HD-j6IgR12iGlq5JFqA,Florida Museum of Natural History,"3215 Hull Rd, Gainesville, FL 32611, United States",(352) 846-2000,https://www.floridamuseum.ufl.edu/,Gainesville
ChIJz9bwHVD29YgRTot3ynL8ns8,"Atlanta Botanical Garden, GAINESVILLE","1911 Sweetbay Dr, Gainesville, GA 30501, United States",(404) 888-4760,https://atlantabg.org/gainesville-garden/,Gainesville
ChIJi_vzq2uj6IgRTZ_kgHleafE,Baughman Center,"982 Museum Rd, Gainesville, FL 32603, United States",(352) 294-0049,https://performingarts.ufl.edu/venues/baughman-center/,Gainesville
ChIJeSPyiSG96IgR2jOXrLAuHO4,Kanapaha Botanical Gardens,"4700 SW 58th Dr, Gainesville, FL 32608, United States",(352) 372-4981,http://www.kanapaha.org/,Alachua
ChIJq6BuvGy76IgR-AJj6SUeAJY,Bonne et Belle,"8504 NW 43rd St, Gainesville, FL 32653, United States",,http://www.bonneetbelle.com/,Alachua
ChIJVbbR8CS96IgRyRG-aPfIfYk,Kanapaha Botanical Gardens,"4700 SW 58th Dr, Gainesville, FL 32608, United States",(352) 372-4981,http://www.kanapaha.org/,Alachua
ChIJtQN6MgOS6IgRe6LWCjnQNMw,Cedar Lakes Woods and Gardens,"4990 NE 180th Ave, Williston, FL 32696, United States",(352) 529-0055,https://www.cedarlakeswoodsandgarden.com/,Alachua
ChIJWWJDyhe36IgRnUrbDF29-fs,The Swick House,"15100 NW 142 Terrace, Alachua, FL 32615, United States",(386) 418-0449,https://www.cityofalachua.com/government/recreation-culture/rentals/swick-house,Alachua
ChIJZYb88f256IgRYusatVheBM8,Oak Lane Weddings & Events,"7827 NW 170th St, Alachua, FL 32615, United States",(352) 474-1160,https://oaklaneweddingsandevents.com/,Alachua
ChIJX_hRGbO76IgR_En0K7pZF-A,Devil's Millhopper Geological State Park,"4732 Millhopper Rd, Gainesville, FL 32653, United States",(352) 955-2008,https://www.floridastateparks.org/park/Devils-Millhopper,Alachua
ChIJ741OfBO36IgRiGvCtPicvIA,City of Alachua Recreation Department,"15400 Peggy Rd, Alachua, FL 32615, United States",(386) 462-1610,https://www.cityofalachua.com/government/recreation-culture,Alachua
ChIJkcN_NliZ6IgRTRs1w9l1x-E,Cuscowilla Nature and Retreat Center,"210 SE 134 Ave, Micanopy, FL 32667, United States",(352) 574-2372,http://www.cuscowilla.org/,Alachua
ChIJW0mlyxe36IgRcqNTsw8x17A,City of Alachua,"15100 NW 142 Terrace, Alachua, FL 32615, United States",(386) 418-6100,http://www.cityofalachua.com/,Alachua
ChIJf5qHyJGu6IgRITp1XJe1u9U,Monteocha Park,"803 NW 192nd Ave, Gainesville, FL 32609, United States",(352) 374-5245,http://www.alachuacounty.us/,Alachua
ChIJn6Fqm0a56IgRBZTw4VcmX3g,Stonewood Events,"15728 NW 78th Ave, Alachua, FL 32615, United States",(352) 262-4626,https://stonewoodevents.com/,Alachua
ChIJU8OeXoG_6IgRum2zKvmTuXo,Clark Plantation,"3700 SW 202nd St, Newberry, FL 32669, United States",(352) 304-9652,https://www.clarkplantation.com/,Newberry
ChIJcY8OGK6_6IgR_sFRAvi3JKM,Granville Plantation Weddings & Events,"760 SW 202nd St, Newberry, FL 32669, United States",(352) 731-2399,http://www.granvilleplantation.com/,Newberry
ChIJl3s-YWLE6IgRE5aIHMBlkx8,Seven Hills Farm,"3270 SE Co Rd 337, Trenton, FL 32693, United States",(352) 745-0602,http://sevenhillsfarmtrenton.com/,Newberry
ChIJeSPyiSG96IgR2jOXrLAuHO4,Kanapaha Botanical Gardens,"4700 SW 58th Dr, Gainesville, FL 32608, United States",(352) 372-4981,http://www.kanapaha.org/,Newberry
ChIJZYb88f256IgRYusatVheBM8,Oak Lane Weddings & Events,"7827 NW 170th St, Alachua, FL 32615, United States",(352) 474-1160,https://oaklaneweddingsandevents.com/,Newberry
