ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJjV37yiyj6IgRZbqW0rf8Knk,Swamp Head Brewery,"3650 SW 42nd Ave, Gainesville, FL 32608, United States",(352) 505-3035,https://swamphead.com/,Gainesville
ChIJe1mHQQCj6IgRiJguQRST0Vk,Grand Scheme Brewing,"619 S Main St South Unit 1B, Gainesville, FL 32601, United States",(352) 359-5153,http://www.grandschemebrewing.com/,Gainesville
ChIJ18k92KO86IgRwsc4j--n0ck,Blackadder Brewing Company,"618 NW 60th St suite a, Gainesville, FL 32607, United States",(352) 339-0324,http://www.blackadderbrewing.com/,Gainesville
ChIJ79Xd3JSj6IgR5WrEo5IIhbA,First Magnitude Brewing Company,"1220 SE Veitch St, Gainesville, FL 32601, United States",(352) 727-4677,https://fmbrewing.com/,Gainesville
ChIJScct23Wk6IgRBs5IGxFJXvQ,Cypress & Grove Brewing Company,"1001 NW 4th St, Gainesville, FL 32601, United States",(352) 376-4993,http://cypressandgrove.com/,Gainesville
ChIJMS-RVoyj6IgRzqu7a1PUf4c,Loosey's Downtown Gainesville,"120 SW 1st Ave, Gainesville, FL 32601, United States",(352) 672-6465,http://www.looseys.com/,Gainesville
ChIJQaBFYDa76IgRJC-D1W5NMs8,Crafty Bastards Restaurant,"4860 NW 39th Ave A, Gainesville, FL 32606, United States",(352) 872-5970,http://thecraftybastards.com/,Gainesville
ChIJATCjIWKx6IgRZ2QhvABUmrA,Daft Cow Brewery,"13800 Tech City Cir Suite 100, Alachua, FL 32615, United States",(352) 389-9787,https://www.daftcowbrewery.com/,Gainesville
ChIJ8fqT-4yj6IgRzHz1ig4CzBI,The Bull,"18 SW 1st Ave, Gainesville, FL 32601, United States",(352) 672-6266,http://www.thebull-gnv.com/,Gainesville
ChIJeWQGOY2j6IgRolwm3higq5w,The Backyard at Boca Fiesta & Palomino,"232 1/2, SE 1st St, Gainesville, FL 32601, United States",,http://thebackyardgnv.com/,Gainesville
ChIJT8eqfvq86IgRKVbBVwgXBu8,Tipple's Brews & Wine,"2440 SW 76th St Suite 110, Gainesville, FL 32608, United States",(352) 672-6303,https://tipplesbrews.com/,Gainesville
ChIJpRSBsY2j6IgRugXoTUGeRIc,High Dive,"210 SW 2nd Ave, Gainesville, FL 32601, United States",(352) 872-5949,http://highdivegainesville.com/,Gainesville
ChIJ0eY99h2k6IgRBvM-ZQltMk8,Lightnin' Salvage Enterprises,"1800 NE 23rd Ave, Gainesville, FL 32609, United States",(352) 395-6622,http://lightninsalvage.com/,Gainesville
ChIJ1UDRYaem6IgRp0ptd1AxDvY,Ole Barn,"1791 NE 23rd Ave, Gainesville, FL 32609, United States",,,Gainesville
ChIJo_x-P3uj6IgRXwFwkl4TENc,South Main Station,"619 S Main St, Gainesville, FL 32601, United States",(352) 234-3250,https://www.southmainstationgnv.com/,Gainesville
ChIJZct2df_I6IgR9RtXP4TVB5Y,High Springs Brewing Company,"18562 NW 237th St, High Springs, FL 32643, United States",(386) 287-1268,http://www.highspringsbrewing.com/,Gainesville
ChIJ5cz3g2329YgRC7XauMcfhuM,Tap It Gainesville Pints & Growlers,"110 Maple St, Gainesville, GA 30501, United States",(678) 421-3312,https://tapitgrowler.square.site/,Gainesville
ChIJjwYylFGj6IgR3ew0cp_yF00,Gators Dockside Gainesville,"3842 Newberry Rd #1a, Gainesville, FL 32607, United States",(352) 338-4445,http://www.gatorsdockside.com/,Gainesville
ChIJ1TQsf4Kj6IgRrNWM6dG-KhI,Salty Dog Saloon,"1712 W University Ave, Gainesville, FL 32603, United States",(352) 375-6969,http://www.saltydogsaloon.com/,Gainesville
ChIJfzM7wIyj6IgRBdNiPqiE4g0,Arcade Bar,"15 N Main St, Gainesville, FL 32601, United States",,http://www.facebook.com/arcadebargainesville/,Gainesville
ChIJSQQfgw-k6IgRHfwff4VnBs4,Public & General Restaurant,"1000 NE 16th Ave, Gainesville, FL 32601, United States",(352) 745-7358,http://www.publicandgeneral.com/,Gainesville
ChIJcwgTJ42j6IgRgKVh_dXfF3E,Mojo Hogtown Bar-B-Que,"12 SE 2nd Ave, Gainesville, FL 32601, United States",(352) 727-7871,https://www.mojobbq.com/,Gainesville
ChIJPS0RhHij6IgRYdUd0BbiSzo,MacDinton's GNV,"1728 W University Ave, Gainesville, FL 32603, United States",(352) 373-7383,https://macdintons.com/macdintons-gainesville/,Gainesville
