ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJfW8fEnWt2YgRpLHVb4Wf_Hg,Oleta River State Park,"3400 NE 163rd St, North Miami Beach, FL 33160, United States",(786) 756-2327,https://www.floridastateparks.org/park/Oleta-River,Miami
ChIJuZtUhrfD2YgR4UmAlP4QTrw,Larry and Penny Thompson Memorial Park and Campground,"12451 SW 184th St, Miami, FL 33177, United States",(305) 232-1049,https://www.miamidade.gov/parks/larry-penny.asp,Miami
ChIJz-6yRp3C2YgRpD_rHm6BESU,Encore Miami Everglades,"20675 SW 162nd Ave, Miami, FL 33187, United States",(305) 233-5300,https://thousandtrails.com//florida/miami-everglades-rv-resort/?utm_source=yext&utm_medium=directory&utm_campaign=Yext%20Directory%20Listing,Miami
ChIJ3YbEDSC32YgR7gXm-jHJZVU,Recreational,"2201 SW 11th Terrace, Miami, FL 33135, United States",(305) 643-7145,http://archive.miamigov.com/parks/park_fernIsle.html,Miami
ChIJV32sTg-x2YgRV98oadhcuJ8,Tropical Mobile Home Park,"1398 NW 79th St, Miami, FL 33147, United States",,,Miami
ChIJqRn-T_Cw2YgR9hs4_eD5HjA,J Bar J Trailer Ranch,"2980 NW 79th St, Miami, FL 33147, United States",(305) 691-2432,https://parakeetcommunities.com/community/j-bar-j/,Miami
ChIJT6PHOUbK2YgRamANgVMeFqk,Bill Baggs Cape Florida State Park,"1200 Crandon Blvd, Key Biscayne, FL 33149, United States",(786) 582-2673,https://www.floridastateparks.org/parks-and-trails/bill-baggs-cape-florida-state-park,Miami
ChIJo8HvHgm32YgR1ro_gvdYd7o,Silver Court Trailer Park Inc,"3170 SW 8th St lot a 124, Miami, FL 33135, United States",,,Miami
ChIJgTwsNaOx2YgRngKYalWQSUU,Colonial Acres,"9674 NW 10th Ave, Miami, FL 33150, United States",,,Miami
ChIJ2TIlPEKp2YgRdQEGFj8odPU,Hollywood KOA,"5931 Polk St, Hollywood, FL 33021, United States",(954) 983-8225,https://koa.com/campgrounds/hollywood/?utm_source=google&utm_medium=organic&utm_campaign=gbp,Miami
ChIJl0JVEmvK2YgRYbH2FQi8W0Y,Lake Park,"E Enid Dr, Key Biscayne, FL 33149, United States",(305) 365-8900,http://keybiscayne.fl.gov/index.php?submenu=prksnrec_&src=gendocs&ref=ParksRec&category=DeptsSvcs,Miami
ChIJPQkUVjO42YgRjKIrUKLGcEE,Sunnyside Trailer Park,"6024 SW 8th St #d450, West Miami, FL 33144, United States",(305) 266-0488,,Miami
ChIJE592t7Ww2YgRl7GjXlkWjvs,Carley's MHC,"4111 NW 37th Ave, Miami, FL 33142, United States",(305) 635-5134,https://parakeetcommunities.com/community/carleys-mobile-home-park/,Miami
