ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJ9aif0pWm6IgRNXMqB-nDijQ,Alachua County Fairgrounds,"23100 W Newberry Rd, Newberry, FL 32669, United States",(352) 472-6758,,Gainesville
ChIJn3bbxZ686IgRl_7UiIDvmVQ,The Oaks Mall,"6419 W Newberry Rd, Gainesville, FL 32605, United States",(352) 331-0040,https://www.theoaksmall.com/en.html,Gainesville
ChIJh_23swe96IgRbYfh1kK6BZc,Shoe Carnival,"6419 W Newberry Rd, Gainesville, FL 32605, United States",(352) 331-3248,https://stores.shoecarnival.com/fl/gainesville/shoe-store-gainesville-fl-611.html?utm_source=google&utm_medium=listing&utm_content=611&utm_campaign=FL&utm_keyword=Gainesville,Gainesville
ChIJu-rzRCq96IgR7XtZ8ajvazw,Celebration Pointe,"4949 Celebration Pointe Ave, Gainesville, FL 32608, United States",(352) 204-9136,https://www.celebrationpointe.com/,Gainesville
ChIJcRYsM_Oj6IgRWocTBP6Idsg,Bo Diddley Plaza,"111 E University Ave, Gainesville, FL 32601, United States",(352) 393-8202,https://www.gainesvillefl.gov/Venues/Bo-Diddley-Plaza,Gainesville
ChIJxXyVj_3A6IgRyI2ip6Jojow,Newberry Watermelon Festival,"1739 SW 248th Dr, Newberry, FL 32669, United States",(352) 727-9287,https://newberrywatermelonfestival.com/,Gainesville
ChIJbTpwvHDZ5YgRxOZV8o-VfEI,Clay County Fairgrounds,"2463 FL-16, Green Cove Springs, FL 32043, United States",(904) 284-6378,https://www.claycountygov.com/community/clay-county-fairgrounds,Gainesville
ChIJ4-WWYOS25YgRv53_V_bJhcY,Jacksonville Caribbean Carnival,"4850 Collins Rd UNIT 103, Jacksonville, FL 32244, United States",(904) 357-0640,http://www.jacksonvillecarnival.com/,Gainesville
ChIJL7z4of-96IgRedr5iZy-czA,Peanut Patch and Cornmaze,"8656 SW 75th St, Gainesville, FL 32608, United States",(352) 339-2113,http://www.peanutpatchandcornmaze.com/,Gainesville
ChIJXRvXtpCj6IgRbTYSSgWrD1w,Bragging Rights Amusements,"113 NW 8th Ave, Gainesville, FL 32601, United States",(352) 281-6937,http://www.braggingrights.com/,Gainesville
ChIJh6v5t4yj6IgRhGnihKFfu1g,"Visit Gainesville, Alachua County, FL","33 N Main St, Gainesville, FL 32601, United States",(352) 374-5260,https://www.visitgainesville.com/,Gainesville
ChIJT1Llt1ej6IgRb5zFMU7_7A4,Kairos Events and Catering,"6 W University Ave, Gainesville, FL 32601, United States",(352) 776-8706,https://eventsbykairos.com/?utm_source=google_map&utm_medium=organic,Gainesville
ChIJ9aif0pWm6IgRNXMqB-nDijQ,Alachua County Fairgrounds,"23100 W Newberry Rd, Newberry, FL 32669, United States",(352) 472-6758,,Alachua
ChIJgTcSRjLc7ogRF-g4-XOfPhY,Suwannee County Fair,"1302 11th St SW, Live Oak, FL 32064, United States",,https://suwanneecountyfair.com/,Alachua
ChIJe0a-UeG36IgRBnjUyXZcFY4,Legacy Park Multipurpose Center,"15400 Peggy Rd, Alachua, FL 32615, United States",(386) 462-0145,http://www.cityofalachua.org/,Alachua
ChIJ4-WWYOS25YgRv53_V_bJhcY,Jacksonville Caribbean Carnival,"4850 Collins Rd UNIT 103, Jacksonville, FL 32244, United States",(904) 357-0640,http://www.jacksonvillecarnival.com/,Alachua
ChIJW0mlyxe36IgRcqNTsw8x17A,City of Alachua,"15100 NW 142 Terrace, Alachua, FL 32615, United States",(386) 418-6100,http://www.cityofalachua.com/,Alachua
ChIJV8I0aj636IgRgcQpJ-oN1JM,Alachua Woman’s Club,"14565 Main St, Alachua, FL 32615, United States",(386) 365-6136,https://alachuawomansclub.org/,Alachua
ChIJc3b7ai-x6IgRlOi3mwyMxtE,ISKCON Alachua Hare Krishna Temple,"17306 NW 112th Blvd, Alachua, FL 32615, United States",(386) 462-2017,http://alachuatemple.com/,Alachua
ChIJ9aif0pWm6IgRNXMqB-nDijQ,Alachua County Fairgrounds,"23100 W Newberry Rd, Newberry, FL 32669, United States",(352) 472-6758,,Newberry
ChIJxXyVj_3A6IgRyI2ip6Jojow,Newberry Watermelon Festival,"1739 SW 248th Dr, Newberry, FL 32669, United States",(352) 727-9287,https://newberrywatermelonfestival.com/,Newberry
ChIJVzacwxvB6IgRfFnyT0QMddI,Newberry Main Street Org,"25435 W Newberry Rd, Newberry, FL 32669, United States",(352) 472-2112,https://newberrymainstreet.com/,Newberry
ChIJawOcbFy_6IgRvKf8MxuCi-Q,Newberry Cornfield Maze,"20015 W Newberry Rd, Newberry, FL 32669, United States",(352) 354-5118,https://newberrycornfieldmaze.com/,Newberry
ChIJ8UMhwf3A6IgR5kA42rq9pw8,CountryWay TownSquare,"1739 SW 248th Dr, Newberry, FL 32669, United States",(352) 354-5110,https://norfleethomes.com/countryway-town-square/,Newberry
ChIJh6y5V77A6IgR67-Qtd-xT-M,Milam Celebration Center,"22405 W Newberry Rd, Newberry, FL 32669, United States",(352) 472-5361,https://milamfh.com/,Newberry
ChIJ9aif0pWm6IgRNXMqB-nDijQ,Alachua County Fairgrounds,"23100 W Newberry Rd, Newberry, FL 32669, United States",(352) 472-6758,,High Springs
ChIJ2ZKXUbfJ6IgRsNdYF4tYdZc,High Springs Civic Center,"19107 NW 240th St, High Springs, FL 32643, United States",(386) 454-1416,https://www.highsprings.gov/parksrec/park/civic-center,High Springs
ChIJxXn915fJ6IgRyFGGyqm_B4E,High Springs Lions Club,"26900 W U.S. Hwy 27, High Springs, FL 32643, United States",(386) 454-4521,https://e-clubhouse.org/sites/highspringslionsfl/,High Springs
ChIJdeCxyKXJ6IgRa2CyNZORMRg,High Springs City Hall,"23718 W U.S. Hwy 27, High Springs, FL 32643, United States",(386) 454-1416,http://www.highsprings.us/,High Springs
ChIJX55jvaXJ6IgRp-uv668c9fI,High Springs Chamber of Commerce,"23517 NW 185th Rd, High Springs, FL 32655, United States",(386) 454-3120,http://www.highsprings.com/,High Springs
ChIJEzJfGKUF2YgRQmXGoa7t5U4,The Fair at Margate,"441 and, Margate Blvd, Margate, FL 33063, United States",,https://margatefair.com/,Hawthorne
ChIJed59G1mL5YgR91dkypXRNbE,Baker County Fairgrounds,"5567 Lauramore Rd, Macclenny, FL 32063, United States",(904) 259-7314,http://www.bakercountyfair.com/,Macclenny
ChIJNUvA3h_15YgR_HR_oABeBFk,Island Oaks RV Resort,"9664 Nursery Rd Blvd, Glen St Mary, FL 32040, United States",(904) 420-7822,https://islandoaksrvresort.com/,Glen St. Mary
ChIJLUHoyh315YgRHq3i30hwgvM,Glen St Mary,"Glen St Mary, FL 32040, USA",,,Glen St. Mary
