ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJDbqxwjij6IgRwB6zYyuUxGU,Hilton University of Florida Conference Center Gainesville,"1714 SW 34th St, Gainesville, FL 32607, United States",(352) 371-3600,https://www.hilton.com/en/hotels/gvncchf-hilton-university-of-florida-conference-center-gainesville/?SEO_id=GMB-AMER-HH-GVNCCHF&y_source=1_MTIyMDgwNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Gainesville
ChIJqdK3FfWj6IgRWutG7CpuNy4,Thomas Center,"302 NE 6th Ave, Gainesville, FL 32601, United States",(352) 334-5067,http://www.historicthomascenter.org/,Gainesville
ChIJi_vzq2uj6IgRTZ_kgHleafE,Baughman Center,"982 Museum Rd, Gainesville, FL 32603, United States",(352) 294-0049,https://performingarts.ufl.edu/venues/baughman-center/,Gainesville
ChIJs-HFr6Gl6IgRCMF2jVFiwV8,5701 Venue,"5701 NW 34th Blvd, Gainesville, FL 32653, United States",,http://www.5701venue.com/,Gainesville
ChIJ64fewIKj6IgRrxdbMCRPO-E,Downtown Event Space,"221 SE 7th St, Gainesville, FL 32601, United States",(352) 373-4535,http://www.laureloakinn.com/,Gainesville
ChIJQbttEXil6IgRMQUThMlVsF8,1908 Grand,"215 N Main St, Gainesville, FL 32601, United States",(352) 373-1908,https://www.1908grand.com/,Gainesville
ChIJsfWOC0m96IgR6hK2ysRp0cU,Alachua County Sports & Event Center,"4870 Celebration Pointe Ave, Gainesville, FL 32608, United States",(833) 258-7356,https://alachua-sports.com/,Gainesville
ChIJGymya4Sj6IgRuFssyRy5qeM,Holiday Inn Gainesville-University Ctr by IHG,"1250 W University Ave, Gainesville, FL 32601, United States",(352) 376-1661,https://www.ihg.com/holidayinn/hotels/us/en/gainesville/gnvuc/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-US-_-GNVUC,Gainesville
ChIJeSPyiSG96IgR2jOXrLAuHO4,Kanapaha Botanical Gardens,"4700 SW 58th Dr, Gainesville, FL 32608, United States",(352) 372-4981,http://www.kanapaha.org/,Gainesville
ChIJub6gemD29YgR6qCC8G7OR3k,Gainesville Civic Center,"830 Green St NE, Gainesville, GA 30501, United States",(770) 531-2680,http://www.gainesville.org/civic-center,Gainesville
ChIJ7zHTlKW96IgRyU0qiSk3qBo,Plantation Hall in the Haile Village Center,"5100 SW 91st Terrace, Gainesville, FL 32608, United States",(352) 378-9793,http://www.plantationhallgnv.com/,Gainesville
ChIJyRpEaIyj6IgRwZ6rLH8r5PQ,Conference Catalysts,"2720 NW 6th St, Gainesville, FL 32609, United States",(352) 872-5544,https://conferencecatalysts.com/,Gainesville
ChIJkwUtSe6j6IgRvVPNiMab8HY,The Cotton Club Museum and Cultural Center,"837 SE 7th Ave, Gainesville, FL 32601, United States",(352) 226-8321,http://www.cottonclubmuseum.com/,Gainesville
ChIJ6QerN92j6IgR_0B_b3MpEKs,Marriott Bonvoy Business,"101 SE 2nd Pl, Gainesville, FL 32601, United States",,https://www.marriott.com/meeting-event-hotels/meetings.mi,Gainesville
ChIJfwKla3Ow6IgR_Y9vfN-BNAc,Turkey Creek Event Center,"733 Turkey Creek Blvd, Alachua, FL 32615, United States",(386) 518-6332,,Alachua
ChIJsfWOC0m96IgR6hK2ysRp0cU,Alachua County Sports & Event Center,"4870 Celebration Pointe Ave, Gainesville, FL 32608, United States",(833) 258-7356,https://alachua-sports.com/,Alachua
ChIJiwqDAqK16IgRJUrfNsuBCx0,Santa Fe River Ranch,"29220 NW 122nd St, Alachua, FL 32615, United States",(386) 365-9966,http://santaferiverranch.com/,Alachua
ChIJn6Fqm0a56IgRBZTw4VcmX3g,Stonewood Events,"15728 NW 78th Ave, Alachua, FL 32615, United States",(352) 262-4626,https://stonewoodevents.com/,Alachua
ChIJqdK3FfWj6IgRWutG7CpuNy4,Thomas Center,"302 NE 6th Ave, Gainesville, FL 32601, United States",(352) 334-5067,http://www.historicthomascenter.org/,Alachua
ChIJWWJDyhe36IgRnUrbDF29-fs,The Swick House,"15100 NW 142 Terrace, Alachua, FL 32615, United States",(386) 418-0449,https://www.cityofalachua.com/government/recreation-culture/rentals/swick-house,Alachua
ChIJ2WdZ7OK16IgRxcN079vtxHk,Valley View,"26001 NW 122nd St, Alachua, FL 32615, United States",(386) 365-9966,http://www.valleyview.com/,Alachua
ChIJV8I0aj636IgRgcQpJ-oN1JM,Alachua Woman’s Club,"14565 Main St, Alachua, FL 32615, United States",(386) 365-6136,https://alachuawomansclub.org/,Alachua
ChIJU8OeXoG_6IgRum2zKvmTuXo,Clark Plantation,"3700 SW 202nd St, Newberry, FL 32669, United States",(352) 304-9652,https://www.clarkplantation.com/,Newberry
ChIJcY8OGK6_6IgR_sFRAvi3JKM,Granville Plantation Weddings & Events,"760 SW 202nd St, Newberry, FL 32669, United States",(352) 731-2399,http://www.granvilleplantation.com/,Newberry
ChIJ9aif0pWm6IgRNXMqB-nDijQ,Alachua County Fairgrounds,"23100 W Newberry Rd, Newberry, FL 32669, United States",(352) 472-6758,,Newberry
ChIJC7o1rd7B6IgRay4gs0Oqbho,Easton-Newberry Sports Complex,"Newberry Sports Complex North, 24880 NW 16th Ave, Newberry, FL 32669, United States",(352) 472-2388,http://www.ci.newberry.fl.us/,Newberry
ChIJHzU43BvB6IgRJ2o5TLoWKzY,Newberry Municipal Building,"25420 W Newberry Rd, Newberry, FL 32669, United States",(352) 472-2161,http://www.ci.newberry.fl.us/,Newberry
ChIJo1sK1sDA6IgRa_8bKT2rHHo,Alachua County Agriculture and Equestrian Center,"23100 W Newberry Rd, Newberry, FL 32669, United States",(352) 472-6758,https://www.visitgainesville.com/explore/attraction/alachua-county-agricultural-and-equestrian-center/,Newberry
ChIJ2ZKXUbfJ6IgRsNdYF4tYdZc,High Springs Civic Center,"19107 NW 240th St, High Springs, FL 32643, United States",(386) 454-1416,https://www.highsprings.gov/parksrec/park/civic-center,High Springs
ChIJT71MpxHJ6IgRXF9Gm6MMjMI,The Sweet Spot,"18635 High Springs Main St, High Springs, FL 32643, United States",(352) 278-6042,https://www.easyeleganceevents.com/,High Springs
ChIJC9PJHI_J6IgRdrgE5cWMgww,Camp Kulaqua Retreat and Conference Center,"23400 NW 212th Ave, High Springs, FL 32643, United States",(386) 454-1351,http://www.campkulaqua.com/,High Springs
ChIJqYDHnuYW5ogRkP7NNP8FEkk,Southeastern Conference,"1771 20 East Highway, Hawthorne, FL 32640, United States",(352) 481-3961,http://www.secsda.org/,Hawthorne
ChIJy7YK32cZ5ogR1qiDKNu-wI8,The Barn at Lakeside Ranch,"167 Orange Ln, Hawthorne, FL 32640, United States",(352) 317-0625,https://www.lakesideranchbarn.com/,Hawthorne
ChIJt91uXi4W5ogRRey4hRpOKBA,Luther Springs Camp and Conference Center,"264 Vause Lake Rd, Hawthorne, FL 32640, United States",(727) 415-9887,http://www.luthersprings.org/,Hawthorne
ChIJy7ABO-YW5ogRs3rieHfkVKw,Southeastern Conference Campground,"1771 FL-20, Hawthorne, FL 32640, United States",(352) 481-3961,http://www.secsda.org/,Hawthorne
ChIJYaJhTVwX5ogRsMBVPntLXaU,The Church Barn,"251 State Rd 21, Hawthorne, FL 32640, United States",(352) 494-0970,,Hawthorne
ChIJkawq2fgY5ogRq395p_DExa8,Hawthorne Community Center,"6700 SE 221st St, Hawthorne, FL 32640, United States",(352) 481-2432,https://www.cityofhawthorne.net/about-us/files/community-center,Hawthorne
ChIJed59G1mL5YgR91dkypXRNbE,Baker County Fairgrounds,"5567 Lauramore Rd, Macclenny, FL 32063, United States",(904) 259-7314,http://www.bakercountyfair.com/,Macclenny
ChIJxRS8NTv15YgRDANXnkafkw4,Trestle Oaks,"6284 Charlie Rowe Dr, Macclenny, FL 32063, United States",(904) 482-9063,http://www.trestleoaks.com/,Macclenny
ChIJaT65XLb95YgRuXVqX5z_6t4,Bradford Convention Center,"1610 N Temple Ave, Starke, FL 32091, United States",(904) 964-2305,,Macclenny
ChIJMS-svJDz5YgRe2PETiCiF_Y,GFWC Woman's Club of Macclenny,"144 S 5th St, Macclenny, FL 32063, United States",(813) 956-0227,http://www.gfwcmacclenny.org/,Macclenny
ChIJ-2ZzOmu35YgR_hNmSCnrftI,The Prime F. Osborn III Convention Center,"1000 Water St, Jacksonville, FL 32204, United States",(904) 630-4000,http://www.primefosborn.com/,Macclenny
