ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJeYZcG7q954gR7q-bHV-bEuQ,Dora Queen,"Marina & Boat Ramp, 375 S Sinclair Ave, Tavares, FL 32778, United States",(352) 533-3380,https://www.doraqueen.com/,Gainesville
ChIJd5nx2l2k6IgRALNsKJ8vDTU,Holbrook Travel,"3540 NW 13th St, Gainesville, FL 32605, United States",(800) 451-7111,https://www.holbrooktravel.com/,Gainesville
ChIJpRSBsY2j6IgRugXoTUGeRIc,High Dive,"210 SW 2nd Ave, Gainesville, FL 32601, United States",(352) 872-5949,http://highdivegainesville.com/,Gainesville
ChIJwcIl25Kj6IgRmhvuFDY2jig,Heartwood Soundstage,"619 S Main St, Gainesville, FL 32601, United States",(352) 448-4849,http://www.heartwoodsoundstage.com/,Gainesville
ChIJOege2BK46IgR7q9gWXyP020,Life Style Cruise & Travel,"19022 NW 94th Ave, Alachua, FL 32615, United States",(352) 316-6066,,Alachua
ChIJ_3kIIE_9wogR6XRDA5nw1yM,StarLite Sapphire,"3400 Pasadena Ave S, South Pasadena, FL 33707, United States",(727) 462-2628,http://www.starlitecruises.com/,Alachua
ChIJ_____0gp54gRlHVL0wc6tuU,Dine and Cruise,"FOLLOW SIGNS, DINE AND CRUISE . in Halifax Harbor Marina, 125 Basin St Suite 140, Daytona Beach, FL 32114, United States",(386) 402-1353,http://dineandcruise.com/,Alachua
ChIJeYZcG7q954gR7q-bHV-bEuQ,Dora Queen,"Marina & Boat Ramp, 375 S Sinclair Ave, Tavares, FL 32778, United States",(352) 533-3380,https://www.doraqueen.com/,Alachua
ChIJnYdgPM612YgR21Ck32yqar4,Cruise Terminal A - Port of Miami - Royal Caribbean International,"2000 N Cruise Blvd, Miami, FL 33132, United States",(888) 441-8264,http://www.miamidade.gov/portmiami/cruise-terminals.asp,Alachua
ChIJq81qhSUA2YgReR6zm924wNI,Jungle Queen Riverboat,"801 Seabreeze Blvd, Fort Lauderdale, FL 33316, United States",(954) 462-5596,http://www.junglequeen.com/,Alachua
ChIJnej4u9b2wogRAAYRwwkuB4A,StarLite Majesty,"25 Causeway Blvd Slip #152, Clearwater, FL 33767, United States",(727) 462-2628,http://www.starlitecruises.com/,Alachua
ChIJzcH_trdy54gRZ64h3mdal4k,Cruises-N-More,"1540 International Pkwy STE 2000, Lake Mary, FL 32746, United States",(800) 733-2048,http://www.cruises-n-more.com/,Alachua
ChIJRYN_mnv3wogRRESf8hFlDQk,Calypso Queen,"Slip #56, 25 Causeway Blvd, Clearwater, FL 33767, United States",(727) 461-3113,https://www.starlitecruises.com/cruises/?Search=casualtropicalbuffet,Alachua
ChIJq6qqqiv3wogRSDjzUNHbwdo,StarLite Cruises,"25 Causeway Blvd, Clearwater, FL 33767, United States",(727) 462-2628,http://www.starlitecruises.com/,Alachua
ChIJ1Sm3I1L9wogRnj8PqTPv3oE,Calypso Breeze,"177 Boardwalk Pl E, Madeira Beach, FL 33708, United States",(727) 461-3113,http://www.ctcruises.com/,Alachua
ChIJs5otVb676IgRF3YD2GjcHJc,Gainesville Harley-Davidson,"4125 NW 97th Blvd, Gainesville, FL 32606, United States",(352) 331-6363,https://gainesvilleharley.com/,Alachua
ChIJPw6nt7-w6IgR3Nhdh40DxjQ,Scuba Monkey Dive Center LLC,"13585 N West 101 Dr #700, Alachua, FL 32615, United States",(386) 518-6323,http://www.scubamonkeydivecenter.com/,Alachua
ChIJeYZcG7q954gR7q-bHV-bEuQ,Dora Queen,"Marina & Boat Ramp, 375 S Sinclair Ave, Tavares, FL 32778, United States",(352) 533-3380,https://www.doraqueen.com/,Newberry
ChIJo1lbzETO6IgRX4KI-Zi8fc4,"Ginnie Springs Outdoors, LLC","7300 NE Ginnie Spgs Rd, High Springs, FL 32643, United States",(386) 454-7188,https://ginniespringsoutdoors.com/,High Springs
ChIJzWYezizJ6IgRNnljZCQPeqI,Poe Springs Park,"28800 NW 182nd Ave, High Springs, FL 32643, United States",(352) 264-6847,https://alachuacounty.us/Depts/parks/Pages/Details.aspx?park=Poe%20Springs%20Park,High Springs
ChIJhfT-5ZnO6IgRAcCQqvvshEQ,Rum 138,"2070 SW County Rd 138, Fort White, FL 32038, United States",(386) 454-4247,http://rum138.com/,High Springs
ChIJI7rjCHat2YgRUt26l-RVc3A,Royal Caribbean Entertainment Studios,"3001 NE 145th St, North Miami, FL 33181, United States",(917) 325-2384,http://www.royalcaribbeanproductions.com/,High Springs
ChIJg8cEJvHEwogRChWlSEgrsr4,Royal Caribbean Cruise Terminal Tampa Bay,"815 Channelside Dr, Tampa, FL 33602, United States",(866) 562-7625,https://www.royalcaribbean.com/faq/questions/driving-directions-port-tampa-florida,High Springs
ChIJ6Qp2aRLP6IgRpVcGydqz_Ak,West Light Farm LLC,"29031 NW 182nd Ave, High Springs, FL 32643, United States",,http://www.westlightfarm.com/,High Springs
ChIJ5SKrt9mp4IgRDYUph1_RwZ8,Brightline Cruises,"290 Marine Harbor Dr Suite A, Merritt Island, FL 32953, United States",(321) 999-1000,https://brightlinecruises.com/,Hawthorne
ChIJcZkFG9eFk4gR-fgJzjocwEc,Shell Island Cruises,"4601 US-98, Panama City, FL 32401, United States",(850) 785-4878,http://www.shellislandcruises.com/,Panama City
ChIJZ8EiTjaGk4gRF6FyH88I_VU,Island Time Sailing,"5201 N Lagoon Dr Ste. 3, Panama City Beach, FL 32408, United States",(850) 234-7377,https://islandtimesailing.com/,Panama City
ChIJAQI87raHk4gRSdUYZPY2pUY,Cruisin Tikis Panama City Beach,"3605 Navy Blvd, Panama City Beach, FL 32408, United States",(850) 810-4700,https://www.cruisintikispanamacity.com/,Panama City
ChIJH5pOcDaGk4gRtr6D57UFtxY,Paradise Adventures,"4114 Jan Cooley Dr, Panama City Beach, FL 32408, United States",(850) 769-3866,http://www.paradiseadventurespcb.com/,Panama City
