ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJkwUtSe6j6IgRvVPNiMab8HY,The Cotton Club Museum and Cultural Center,"837 SE 7th Ave, Gainesville, FL 32601, United States",(352) 226-8321,http://www.cottonclubmuseum.com/,Gainesville
ChIJqdK3FfWj6IgRWutG7CpuNy4,Thomas Center,"302 NE 6th Ave, Gainesville, FL 32601, United States",(352) 334-5067,http://www.historicthomascenter.org/,Gainesville
ChIJ05pRW2yj6IgRjcpeXaq3yA8,A Quinn Jones Museum & Cultural Center,"1013 NW 7th Ave, Gainesville, FL 32601, United States",(352) 334-2010,https://www.gainesvillefl.gov/Venues/A.-Quinn-Jones-Museum-Cultural-Center,Gainesville
ChIJFdEESO6j6IgR_S4iNOslGGs,Gainesville Cotton Club,"837 SE 7th Ave, Gainesville, FL 32601, United States",(352) 376-9956,https://www.cottonclubmuseum.com/,Gainesville
ChIJ9QUvBoaj6IgRLUXMT2Yn6eQ,Cultural Arts Coalition,"321 NW 10th St, Gainesville, FL 32601, United States",(352) 372-0216,http://www.culturalartscoalition.org/,Gainesville
ChIJV1saDj-j6IgRCzNOsYSBymw,Harn Museum of Art,"3259 Hull Rd, Gainesville, FL 32608, United States",(352) 392-9826,https://harn.ufl.edu/,Gainesville
ChIJs1C1o5Kj6IgRpOftpLlXVxE,Civic Media Center,"433 S Main St, Gainesville, FL 32601, United States",(352) 373-0010,http://www.civicmediacenter.org/,Gainesville
ChIJv-AQuBSj6IgR63WspiH58iI,Curtis M. Phillips Center for the Performing Arts,"3201 Hull Rd, Gainesville, FL 32611, United States",(352) 392-2787,https://performingarts.ufl.edu/,Gainesville
ChIJCxgEbpOj6IgRX2GBPVg5Xik,Cade Museum for Creativity & Invention,"811 S Main St, Gainesville, FL 32601, United States",(352) 371-8001,http://www.cademuseum.org/,Gainesville
ChIJMyJllIWj6IgReMLIkGHb2BA,Islamic Community Center of Gainesville,"1010 W University Ave, Gainesville, FL 32601, United States",(352) 509-6669,http://iccgfl.org/,Gainesville
ChIJTfruNo2j6IgRVxCVkN7eI0k,Hippodrome Theatre,"25 SE 2nd Pl, Gainesville, FL 32601, United States",(352) 375-4477,http://www.thehipp.org/,Gainesville
ChIJuWtcCEqh6IgRk9ow0lfVBqU,Morningside Nature Center,"3540 E University Ave, Gainesville, FL 32641, United States",(352) 393-8240,https://www.gainesvillefl.gov/Parks/Morningside-Nature-Center,Gainesville
ChIJKbTTCK2k6IgRuQPduDjKd18,Gainesville Community Playhouse,"4039 NW 16th Blvd, Gainesville, FL 32605, United States",(352) 376-4949,http://www.gcplayhouse.org/,Gainesville
ChIJK4TPUwCj6IgREljpEhyWG1I,UF Center for Inclusion and Multicultural Engagement,"J. Wayne, Reitz Student Union, 655 Reitz Union Drive Suite 2203, Gainesville, FL 32603, United States",(352) 294-7850,https://multicultural.ufl.edu/,Gainesville
ChIJMZ0YT62k6IgRnOeuCVJmzqg,Artisans' Guild Gallery,"224 NW 2 Ave, Gainesville, FL 32601, United States",(352) 378-1383,http://www.artisansguildgallery.com/,Gainesville
ChIJ7ZKso_Oj6IgRQ2J3pXeiNAU,Matheson History Museum,"513 E University Ave, Gainesville, FL 32601, United States",(352) 378-2280,http://www.mathesonmuseum.org/,Gainesville
ChIJjeOFFvWj6IgRVvaEuTKuGF0,City of Gainesville,"302 NE 6th Ave, Gainesville, FL 32601, United States",(352) 393-8532,https://www.gainesvillefl.gov/Home,Gainesville
ChIJ9QUvBoaj6IgR1PX_eh9mF5M,Wilhelmina Johnson Resource,"321 NW 10th St, Gainesville, FL 32601, United States",(352) 372-0216,,Gainesville
ChIJQ1Q3zfKj6IgRijqpBHXA2V0,Black C Art Gallery,"201 SE 2nd Pl #111, Gainesville, FL 32601, United States",(352) 469-6278,http://blackcproduction.com/,Gainesville
ChIJ7zzebT6j6IgRVjbtOopdPTk,Natural Area Teaching Laboratory,"Natural Area Dr, Gainesville, FL 32611, United States",,http://natl.ifas.ufl.edu/,Gainesville
ChIJcRYsM_Oj6IgRWocTBP6Idsg,Bo Diddley Plaza,"111 E University Ave, Gainesville, FL 32601, United States",(352) 393-8202,https://www.gainesvillefl.gov/Venues/Bo-Diddley-Plaza,Gainesville
ChIJQyfOD4uj6IgRi3GUnpYy8A0,Friends of the Library Alachua County Library District,"430-B N Main St, Gainesville, FL 32601, United States",(352) 375-1676,http://www.folacld.org/,Gainesville
ChIJ8-5kxj-j6IgRI8xBLAnLaFc,Cultural Plaza,"Gainesville, FL 32608, United States",,,Gainesville
ChIJUWFBf-uj6IgRwUUwci1LBeI,Gainesville Circus Center,"1925-A, 1925 NW 2nd St, Gainesville, FL 32609, United States",(352) 316-0682,https://www.gainesvillecircus.com/,Gainesville
ChIJ1eFVUYKj6IgR9Vl6dURH7OM,Institute of Black Culture,"1510 W University Ave, Gainesville, FL 32603, United States",(352) 294-6301,,Gainesville
ChIJk-Ena8yj6IgRd4uM_AVWZsQ,Sweetwater Wetlands Park,"325 SW Williston Rd, Gainesville, FL 32601, United States",(352) 554-5871,https://www.gainesvillefl.gov/Parks/Sweetwater-Wetlands-Park,Gainesville
ChIJg0Gdlj-j6IgRYjKKnVfWkzI,Cultural Plaza,"Gainesville, FL 32608, United States",,,Gainesville
ChIJAz7Vkp2j6IgRE1ICOmeeHYk,Research & Collections at the Florida Museum of Natural History,"1659 Museum Rd, Gainesville, FL 32611, United States",(352) 392-1721,https://www.floridamuseum.ufl.edu/nhdept/visiting-dickinson-hall/,Gainesville
ChIJwXFf04Kj6IgR4HtkV0dt9gM,University Auditorium,"333 Newell Dr, Gainesville, FL 32611, United States",(352) 392-2346,https://performingarts.ufl.edu/venues/,Gainesville
ChIJ_aHU15Kj6IgROdcp7P7ZODI,Depot Park,"874 SE 4th St, Gainesville, FL 32601, United States",(352) 393-8510,http://www.depotpark.org/,Gainesville
ChIJ7wV6FPOj6IgRZ9N3Xp8kidg,Headquarters Library | Alachua County Library District,"401 E University Ave, Gainesville, FL 32601, United States",(352) 334-3900,https://www.aclib.us/headquarters,Gainesville
ChIJVZxw1tCj6IgRdJVRXYV9PDY,Boulware Springs Park,"3300 SE 15th St, Gainesville, FL 32641, United States",(352) 334-5067,https://www.gainesvillefl.gov/Parks/Boulware-Springs-Nature-Park,Gainesville
ChIJd71aR52j6IgRHko1BL93Tag,Marston Science Library,"444 Newell Dr, Gainesville, FL 32611, United States",(352) 273-2851,https://marston.uflib.ufl.edu/,Gainesville
ChIJv_F7Nku76IgRY6kxLCSZFSQ,Millhopper Branch | Alachua County Library District,"3145 NW 43rd St, Gainesville, FL 32606, United States",(352) 334-1272,https://www.aclib.us/millhopper,Gainesville
ChIJn18R4Guj6IgRuMZobqHdvy8,UF Bat Houses,"Museum Rd, Gainesville, FL 32611, United States",,http://www.floridamuseum.ufl.edu/bats,Gainesville
ChIJ35HbTQCx6IgRBa3Sa2tqpAI,Stephan folk cultural center,"20004 NW 113th Way, Alachua, FL 32615, United States",,,Gainesville
ChIJD7Hab7Cj6IgRCr3DD30zqGw,Blount Hall,"530 W University Ave, Gainesville, FL 32601, United States",(352) 381-7216,https://www.sfcollege.edu/blount/,Gainesville
ChIJTxlXV4Kj6IgRSJ-tmdH0chA,Library West Humanities & Social Sciences,"1545 W University Ave, Gainesville, FL 32603, United States",(352) 273-2525,https://librarywest.uflib.ufl.edu/,Gainesville
