ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJ18k92KO86IgRwsc4j--n0ck,Blackadder Brewing Company,"618 NW 60th St suite a, Gainesville, FL 32607, United States",(352) 339-0324,http://www.blackadderbrewing.com/,Gainesville
ChIJjV37yiyj6IgRZbqW0rf8Knk,Swamp Head Brewery,"3650 SW 42nd Ave, Gainesville, FL 32608, United States",(352) 505-3035,https://swamphead.com/,Gainesville
ChIJpRSBsY2j6IgRugXoTUGeRIc,High Dive,"210 SW 2nd Ave, Gainesville, FL 32601, United States",(352) 872-5949,http://highdivegainesville.com/,Gainesville
ChIJ79Xd3JSj6IgR5WrEo5IIhbA,First Magnitude Brewing Company,"1220 SE Veitch St, Gainesville, FL 32601, United States",(352) 727-4677,https://fmbrewing.com/,Gainesville
ChIJq4mjtn6l6IgRQsyeC_DpQUs,The Bourbon Barn,"2331 NW 13th St, Gainesville, FL 32609, United States",(352) 554-4535,http://bourbonbarnfl.com/,Gainesville
ChIJfaWWWIUB2YgR7CnD-TKYXIM,ChainBridge Distillery,"3500 NE 11th Ave, Oakland Park, FL 33334, United States",(954) 900-3924,http://www.chainbridgedistillery.com/,Gainesville
ChIJVbyae3Kj6IgRgQyYbWIjXeQ,The Traveler,"101 SE 2nd Pl #108, Gainesville, FL 32601, United States",(352) 757-2985,https://www.thetravelerbar.com/,Gainesville
ChIJ989G5wU7w4gRn7UHu-cuzJo,Loaded Cannon Distillery,"3115 Lakewood Ranch Blvd Suite 110, Bradenton, FL 34211, United States",(941) 900-1482,http://loadedcannondistillery.com/,Gainesville
ChIJe1eNAy6j6IgRESMhgf1SdOk,Total Wine & More,"3965 Plaza Blvd Ste 10, Gainesville, FL 32608, United States",(352) 378-1948,https://www.totalwine.com/store-info/florida-gainesville-florida/929?cid=referral:website_link::momentfeed:929_gainesville_store_details_page:,Gainesville
ChIJUxU-wNFj6IgRfMP9l1ztPB4,Fish Hawk Spirits,"16350 SW 20th Ln, Ocala, FL 34481, United States",(352) 445-1292,http://www.fishhawkspirits.com/,Gainesville
ChIJ2QOAijEi6IgR2jXwDwnNQyU,NJoy Spirits Distillery,"7237 Wild Buck Rd, Spring Hill, FL 34613, United States",(352) 592-9622,https://njoyspirits.com/,Gainesville
ChIJxeBgQncT54gRbp12VNlFM-g,Loggerhead Distillery,"124 W 2nd St, Sanford, FL 32771, United States",(321) 800-8566,https://loggerheaddistillery.com/,Gainesville
ChIJ01BedleNwogR-l8GkAERsPg,Tarpon Springs Distillery,"605 N Pinellas Ave, Tarpon Springs, FL 34689, United States",(727) 940-2045,https://www.tarponspringsdistillery.net/,Gainesville
ChIJKTA8BNQn5IgRazkINvh4XQ0,City Gate Spirits,"11 St George St, St. Augustine, FL 32084, United States",(904) 454-8006,https://www.citygatespirits.com/,Gainesville
ChIJVwhKIRfvk4gRpZHpF43Baww,Distillery 98,"835 Serenoa Rd, Santa Rosa Beach, FL 32459, United States",(850) 919-2400,http://www.distillery98.com/,Gainesville
ChIJRdeGEi3hk4gRZsHEP1oCkC0,30A Distilling Co,"605 N County Hwy 393 Building 15-B, Santa Rosa Beach, FL 32459, United States",(850) 253-7564,https://www.30adistillingco.com/,Gainesville
ChIJu-rzRCq96IgR7XtZ8ajvazw,Celebration Pointe,"4949 Celebration Pointe Ave, Gainesville, FL 32608, United States",(352) 204-9136,https://www.celebrationpointe.com/,Gainesville
ChIJx89-DKR_6IgR1SB9RxVjE0o,James Two Brothers Distillers,"3428 SW 74th Ave, Ocala, FL 34474, United States",(352) 291-0585,http://www.2brothersdistillers.com/,Gainesville
ChIJU9kXqH5ubBQRyOkNGY1bzgk,Alligator Bay Distillers,"27306 Old 41 Rd Unit A, Bonita Springs, FL 34135, United States",(941) 347-8419,http://www.alligatorbaydistillers.com/,Gainesville
ChIJZSKzfzfn5YgR8bUJT6uftWY,Black Creek Distilleries,"4289 Co Rd 218 # 107, Middleburg, FL 32068, United States",(904) 214-3265,https://www.facebook.com/blackcreekdistilleries/,Alachua
ChIJL45Ab3ux6IgRLYZSSRYMTPE,Beaker & Flask Wine Co.,"13800 Tech City Cir Ste 311, Alachua, FL 32615, United States",(352) 559-3395,http://www.beakerandflaskwinebar.com/,Alachua
ChIJxY3iZ8Wl24gR4wMded7whm8,Everglades Distillers,"160 Airpark Blvd Unit 104, Immokalee, FL 34142, United States",(239) 658-5701,http://www.evergladesdistillers.com/,Alachua
ChIJx89-DKR_6IgR1SB9RxVjE0o,James Two Brothers Distillers,"3428 SW 74th Ave, Ocala, FL 34474, United States",(352) 291-0585,http://www.2brothersdistillers.com/,Alachua
ChIJhZmyEdax6IgRKcYy-SwCs8M,San Felasco Tech City,"13900 Tech City Cir, Alachua, FL 32615, United States",(352) 538-0072,https://sanfelascotechcity.com/,Alachua
ChIJ989G5wU7w4gRn7UHu-cuzJo,Loaded Cannon Distillery,"3115 Lakewood Ranch Blvd Suite 110, Bradenton, FL 34211, United States",(941) 900-1482,http://loadedcannondistillery.com/,Alachua
ChIJ01BedleNwogR-l8GkAERsPg,Tarpon Springs Distillery,"605 N Pinellas Ave, Tarpon Springs, FL 34689, United States",(727) 940-2045,https://www.tarponspringsdistillery.net/,Alachua
ChIJfaWWWIUB2YgR7CnD-TKYXIM,ChainBridge Distillery,"3500 NE 11th Ave, Oakland Park, FL 33334, United States",(954) 900-3924,http://www.chainbridgedistillery.com/,Alachua
ChIJ2QOAijEi6IgR2jXwDwnNQyU,NJoy Spirits Distillery,"7237 Wild Buck Rd, Spring Hill, FL 34613, United States",(352) 592-9622,https://njoyspirits.com/,Alachua
ChIJVwhKIRfvk4gRpZHpF43Baww,Distillery 98,"835 Serenoa Rd, Santa Rosa Beach, FL 32459, United States",(850) 919-2400,http://www.distillery98.com/,Alachua
ChIJUxU-wNFj6IgRfMP9l1ztPB4,Fish Hawk Spirits,"16350 SW 20th Ln, Ocala, FL 34481, United States",(352) 445-1292,http://www.fishhawkspirits.com/,Alachua
ChIJU9kXqH5ubBQRyOkNGY1bzgk,Alligator Bay Distillers,"27306 Old 41 Rd Unit A, Bonita Springs, FL 34135, United States",(941) 347-8419,http://www.alligatorbaydistillers.com/,Alachua
ChIJ17yhI6a-6IgRLv7w5idXm7Y,Fluid Lounge,"140 SW 128th St suite c, Newberry, FL 32669, United States",(352) 727-4755,,Newberry
ChIJs7lCHVqU54gR9fsEW8rV9xQ,Yalaha Bootlegging Company,"8222B FL-48, Yalaha, FL 34797, United States",(352) 324-4069,http://www.yalahabootleggingco.com/,Newberry
ChIJEXHuRtQu54gRqV9B2U01Ad4,"Sugar Works Distillery, LLC","214 N Orange St, New Smyrna Beach, FL 32168, United States",(386) 463-0120,https://sugarworksdistillery.com/,Newberry
ChIJ4dE0HAC_6IgRRCU-2dxAq-s,Dorn’s West,"14451 W Newberry Rd, Newberry, FL 32669, United States",(352) 660-2060,https://www.facebook.com/DornsWest,Newberry
ChIJ2QOAijEi6IgR2jXwDwnNQyU,NJoy Spirits Distillery,"7237 Wild Buck Rd, Spring Hill, FL 34613, United States",(352) 592-9622,https://njoyspirits.com/,High Springs
ChIJTSTfjr6BVogRoyLkkMAPczg,Storm Distillery,"105 N Apopka Ave, Inverness, FL 34450, United States",(352) 436-9037,http://www.stormdistillery.com/,High Springs
ChIJ9QPbJ_Q_6IgRlHgQxQi7EkA,Homosassa Distillery Co,"8759 W Tradeways Ct, Homosassa, FL 34448, United States",(352) 436-9614,https://homosassadistillery.com/,High Springs
ChIJ01BedleNwogR-l8GkAERsPg,Tarpon Springs Distillery,"605 N Pinellas Ave, Tarpon Springs, FL 34689, United States",(727) 940-2045,https://www.tarponspringsdistillery.net/,High Springs
ChIJZct2df_I6IgR9RtXP4TVB5Y,High Springs Brewing Company,"18562 NW 237th St, High Springs, FL 32643, United States",(386) 287-1268,http://www.highspringsbrewing.com/,High Springs
ChIJ2QOAijEi6IgR2jXwDwnNQyU,NJoy Spirits Distillery,"7237 Wild Buck Rd, Spring Hill, FL 34613, United States",(352) 592-9622,https://njoyspirits.com/,Hawthorne
ChIJs7lCHVqU54gR9fsEW8rV9xQ,Yalaha Bootlegging Company,"8222B FL-48, Yalaha, FL 34797, United States",(352) 324-4069,http://www.yalahabootleggingco.com/,Hawthorne
ChIJRcGGtDNB6IgRdJSd_frpCXc,Aggregation Distilling Company,"255 SE US Hwy 19 #4, Crystal River, FL 34429, United States",,https://crfl.us/,Hawthorne
ChIJxeBgQncT54gRbp12VNlFM-g,Loggerhead Distillery,"124 W 2nd St, Sanford, FL 32771, United States",(321) 800-8566,https://loggerheaddistillery.com/,Hawthorne
