ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJlRUlG4nEwogRJOgu0Hf2n54,Curtis Hixon Waterfront Park,"600 N Ashley Dr, Tampa, FL 33602, United States",(813) 274-8615,http://www.tampagov.net/parks-and-recreation,Tampa
ChIJ5SOrgJrEwogRk1CpE9Rj7hE,Gasparilla Music Festival,"Julian B Lane Waterfront Park, 1001 N Blvd, Tampa, FL 33607, United States",(813) 708-8423,http://gasparillamusic.com/,Tampa
ChIJeQ-y5zXPwogRFU7AXbruMCg,Florida State Fairgrounds,"4800 US-301, Tampa, FL 33610, United States",(813) 621-7821,http://floridastatefair.com/,Tampa
ChIJMfA-hp813YgRfILFrtZqJRk,Tampa Bay Blueberry Festival,"5210 Thonotosassa Rd, Plant City, FL 33565, United States",(813) 752-9100,,Tampa
ChIJvazqjl7EwogR41uLXwgHrno,Tampa Black Heritage Festival,"1475 Tampa Park Plaza, Tampa, FL 33605, United States",,https://tampablackheritage.org/,Tampa
ChIJayfgCZ7FwogRA8K9Cng-kS4,Uptown Music & Arts Festival,"600 N Ashley Dr, Tampa, FL 33602, United States",(813) 724-0433,https://www.uptownmusicfestival.com/,Tampa
ChIJ3zT4J_vDwogRo1syfmsbzak,Ybor City Cigar Festival,"1802 N Howard Ave #4631, Tampa, FL 33607, United States",(813) 358-3455,https://www.yborcigarfestival.com/,Tampa
ChIJTwOyBhnFwogR5BSECHpypWA,Jingle Bell Bazaar at Ybor,"1800 E 8th Ave, Tampa, FL 33605, United States",(888) 991-2502,https://www.jinglebellbazaar.com/,Tampa
ChIJteWEw_Ut3YgRlcKNOT9E82U,Greater Hillsborough County Fair,"215 Sydney Washer Rd, Dover, FL 33527, United States",(813) 737-3247,http://hillsboroughcountyfair.com/,Tampa
ChIJndmRKazFwogRk-mtzXKV4xI,Cigar Heritage Festival,"1800 E 8th Ave, Tampa, FL 33605, United States",(813) 606-5514,https://www.yborcigarfestival.com/,Tampa
ChIJVVUBztbDwogRLyIvU2_WwwA,Smoke Shop Festival,"4035 W Hillsborough Ave, Tampa, FL 33614, United States",(813) 533-3798,https://www.smokeshopfestival.com/contact,Tampa
