ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJqdK3FfWj6IgRWutG7CpuNy4,Thomas Center,"302 NE 6th Ave, Gainesville, FL 32601, United States",(352) 334-5067,http://www.historicthomascenter.org/,Gainesville
ChIJQbttEXil6IgRMQUThMlVsF8,1908 Grand,"215 N Main St, Gainesville, FL 32601, United States",(352) 373-1908,https://www.1908grand.com/,Gainesville
ChIJV2OKjvGj6IgRpm5BqrDX0Gk,The Laurel Oak Inn,"221 SE 7th St, Gainesville, FL 32601, United States",(352) 373-4535,http://www.laureloakinn.com/,Gainesville
ChIJ4-UXyNqp6IgRWR8LCQ64Wvw,The Barn at Deep Creek,"3910 NE 156th Ave, Gainesville, FL 32609, United States",(352) 317-4882,http://barnatdeepcreek.com/,Gainesville
ChIJpy8HVnqj6IgRtz-YmEIkPOc,Earl and Christy Powell University House,"2151 W University Ave, Gainesville, FL 32603, United States",(352) 392-6541,http://president.ufl.edu/office/house,Gainesville
ChIJfUKdhvGj6IgRkbMfgNwBssI,Camellia Rose Inn,"205 SE 7th St Apartment A, Gainesville, FL 32601, United States",(352) 519-3994,https://www.camelliaroseinn.com/,Gainesville
ChIJKcZV3POj6IgRv7OgojldB68,Sweetwater Branch Inn Lodging & Events,"625 E University Ave, Gainesville, FL 32601, United States",(352) 373-6760,https://sweetwaterinn.com/,Gainesville
ChIJWYcjKe2j6IgRzCNcfa3iQ-s,The Depot Event Space,"201 SE Depot Ave, Gainesville, FL 32601, United States",(352) 278-1178,https://www.thetopsecretevents.com/the-depot,Gainesville
ChIJi_vzq2uj6IgRTZ_kgHleafE,Baughman Center,"982 Museum Rd, Gainesville, FL 32603, United States",(352) 294-0049,https://performingarts.ufl.edu/venues/baughman-center/,Gainesville
ChIJgWr2k4yj6IgROMScZaum5k0,The Wooly,"20 N Main St, Gainesville, FL 32601, United States",(352) 278-1178,https://www.thetopsecretevents.com/the-wooly,Gainesville
