ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJE8rXy8a96IgR-VLkQWcc2Pk,"Hotel Indigo Gainesville-Celebration Pointe, an IHG Hotel","5020 SW 30th Ln, Gainesville, FL 32608, United States",(352) 240-8900,https://www.ihg.com/hotelindigo/hotels/us/en/gainesville/gnvgi/hoteldetail?cm_mmc=GoogleMaps-_-IN-_-US-_-GNVGI,Gainesville
ChIJiWNlTwqj6IgR4uzt5lqXPdQ,Hotel Eleo,"1514 SW 14th St, Gainesville, FL 32608, United States",(352) 565-3750,https://www.hoteleleo.com/?utm_source=Bing&utm_medium=Referral&utm_campaign=Bing+listing,Gainesville
ChIJjR33TCqj6IgRLFpLF5mq6IQ,DoubleTree by Hilton Gainesville,"3726 SW 40th Blvd, Gainesville, FL 32608, United States",(352) 375-2400,https://www.hilton.com/en/hotels/gnvgldt-doubletree-gainesville/?SEO_id=GMB-AMER-DT-GNVGLDT&y_source=1_MzcxNTk3Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Gainesville
ChIJ3SA9LEij6IgRrVgrYsmRvtY,Hyatt Place Gainesville Downtown,"212 SE 1st St, Gainesville, FL 32601, United States",(352) 496-7500,https://www.hyatt.com/hyatt-place/en-US/gnvzg-hyatt-place-gainesville-downtown?src=corp_lclb_google_seo_gnvzg&utm_source=google&utm_medium=organic&utm_campaign=lmr,Gainesville
ChIJa3SzwtSi6IgRSvB1LGI-HuA,"Country Inn & Suites by Radisson, Gainesville, FL","4015 SW 43rd St, Gainesville, FL 32608, United States",(352) 231-8932,https://www.choicehotels.com/florida/gainesville/country-inn-suites-hotels/flj28?mc=llgoxxpx,Gainesville
ChIJDbqxwjij6IgRwB6zYyuUxGU,Hilton University of Florida Conference Center Gainesville,"1714 SW 34th St, Gainesville, FL 32607, United States",(352) 371-3600,https://www.hilton.com/en/hotels/gvncchf-hilton-university-of-florida-conference-center-gainesville/?SEO_id=GMB-AMER-HH-GVNCCHF&y_source=1_MTIyMDgwNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Gainesville
ChIJPb6PDyqj6IgR9gUgietxqI4,Drury Inn & Suites Gainesville,"4000 SW 40th Blvd, Gainesville, FL 32608, United States",(352) 372-5600,https://www.druryhotels.com/locations/Gainesville-FL/Drury-Inn-and-Suites-Gainesville?utm_campaign=gmb&utm_medium=organic&utm_source=local2,Gainesville
ChIJQ9nudCij6IgRmGnaJ8nlbSQ,Fairfield by Marriott Inn & Suites Gainesville I-75,"3877 SW 37th Blvd, Gainesville, FL 32608, United States",(352) 745-7777,https://www.marriott.com/en-us/hotels/gnvsw-fairfield-inn-and-suites-gainesville-i-75/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,Gainesville
ChIJKcZV3POj6IgRv7OgojldB68,Sweetwater Branch Inn Lodging & Events,"625 E University Ave, Gainesville, FL 32601, United States",(352) 373-6760,https://sweetwaterinn.com/,Gainesville
ChIJzT5HDwmj6IgRNNqfjjbvyK4,Holiday Inn Express & Suites Gainesville I-75,"3370 SW 42nd St, Gainesville, FL 32608, United States",(352) 378-1300,https://www.ihg.com/holidayinnexpress/hotels/us/en/gainesville/gnves/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-US-_-GNVES,Gainesville
ChIJ0Rggnsu96IgRumKj-fVU6Gk,La Quinta by Wyndham Gainesville,"908 NW 69th Terrace, Gainesville, FL 32605, United States",(352) 363-5704,https://www.wyndhamhotels.com/laquinta/gainesville-florida/la-quinta-gainesville-fl/overview?CID=LC:6ysy27krtpcrqev:53736&iata=00093796,Gainesville
ChIJg2Ico7-76IgRx6BJk6EdBqI,Best Western Gateway Grand,"4200 NW 97th Blvd, Gainesville, FL 32606, United States",(352) 331-3336,https://www.bestwestern.com/en_US/book/hotel-rooms.10281.html?iata=00171880&ssob=BLBWI0004G&cid=BLBWI0004G:google:gmb:10281,Gainesville
