ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJ64fewIKj6IgRrxdbMCRPO-E,Downtown Event Space,"221 SE 7th St, Gainesville, FL 32601, United States",(352) 373-4535,http://www.laureloakinn.com/,Gainesville
ChIJiVZ2HvL19YgRKA7IMi3d248,Freedom Boat Club Lake Lanier - Gainesville Marina,"2145 Dawsonville Hwy Gainesville Marina, Gainesville, GA 30501, United States",(941) 893-7876,https://www.freedomboatclub.com/franchises/gml-inc/gainesville-marina?class4=10607&class7=5130,Gainesville
ChIJ4-UXyNqp6IgRWR8LCQ64Wvw,The Barn at Deep Creek,"3910 NE 156th Ave, Gainesville, FL 32609, United States",(352) 317-4882,http://barnatdeepcreek.com/,Gainesville
ChIJgWr2k4yj6IgROMScZaum5k0,The Wooly,"20 N Main St, Gainesville, FL 32601, United States",(352) 278-1178,https://www.thetopsecretevents.com/the-wooly,Gainesville
ChIJs-HFr6Gl6IgRCMF2jVFiwV8,5701 Venue,"5701 NW 34th Blvd, Gainesville, FL 32653, United States",,http://www.5701venue.com/,Gainesville
ChIJWYcjKe2j6IgRzCNcfa3iQ-s,The Depot Event Space,"201 SE Depot Ave, Gainesville, FL 32601, United States",(352) 278-1178,https://www.thetopsecretevents.com/the-depot,Gainesville
ChIJi_vzq2uj6IgRTZ_kgHleafE,Baughman Center,"982 Museum Rd, Gainesville, FL 32603, United States",(352) 294-0049,https://performingarts.ufl.edu/venues/baughman-center/,Gainesville
ChIJQbttEXil6IgRMQUThMlVsF8,1908 Grand,"215 N Main St, Gainesville, FL 32601, United States",(352) 373-1908,https://www.1908grand.com/,Gainesville
ChIJj9fIwZWj6IgRmYEC2vYOUYE,Top Secret Event Space,"10 N Main St, Gainesville, FL 32601, United States",(352) 278-1178,https://www.thetopsecretevents.com/,Gainesville
ChIJF5aGpbml6IgRozTMgF_WSSI,Flow Space - Weddings & Events,"117 NW 16th Ave, Gainesville, FL 32601, United States",(352) 231-8012,http://www.flowspaceevents.com/,Gainesville
ChIJq6BuvGy76IgR-AJj6SUeAJY,Bonne et Belle,"8504 NW 43rd St, Gainesville, FL 32653, United States",,http://www.bonneetbelle.com/,Gainesville
ChIJF-_DW8yM9YgRrbZ01XbIsaQ,Sunrise Cove Marina,"5725 Flat Creek Rd, Gainesville, GA 30504, United States",(770) 536-8599,https://sunrisecovemarina.com/,Gainesville
ChIJcY8OGK6_6IgR_sFRAvi3JKM,Granville Plantation Weddings & Events,"760 SW 202nd St, Newberry, FL 32669, United States",(352) 731-2399,http://www.granvilleplantation.com/,Gainesville
ChIJe-5mtHK96IgRzA-CpRKanF4,Freedom Events,"7600 NW 5 Pl Suite C1, Gainesville, FL 32607, United States",(352) 740-0791,,Gainesville
ChIJDwYjghWy6IgRAwvZFEwsz4M,C Bar Ranch and Organics,"22889 N State Rd 121, Alachua, FL 32615, United States",(904) 705-0780,http://www.cbarranchevents.com/,Gainesville
ChIJ7zHTlKW96IgRyU0qiSk3qBo,Plantation Hall in the Haile Village Center,"5100 SW 91st Terrace, Gainesville, FL 32608, United States",(352) 378-9793,http://www.plantationhallgnv.com/,Gainesville
ChIJZYb88f256IgRYusatVheBM8,Oak Lane Weddings & Events,"7827 NW 170th St, Alachua, FL 32615, United States",(352) 474-1160,https://oaklaneweddingsandevents.com/,Gainesville
ChIJ_82OyYCs6IgR1BQzkX0TNP8,Belle Oaks Barn,"11800 SW 157th Ln, Brooker, FL 32622, United States",(352) 538-3905,http://www.belleoaksbarn.com/,Gainesville
ChIJ-RrEZjT09YgRDcQ3lMP235A,Gainesville Marina and Boat Sales,"2145 Dawsonville Hwy, Gainesville, GA 30501, United States",(770) 536-2171,http://www.gainesvillemarina.com/,Gainesville
ChIJSRi1o5xT74gR0SAty2JAnDo,Pine Grove Barn at Shadd Farms,"14207 NW 102nd Trail, Lake Butler, FL 32054, United States",(352) 258-0558,https://www.pine-grove-barn.com/,Gainesville
ChIJHySnh_yg6IgRjy4oW1sFCwA,Newnans Lake Boat Ramp,"se 32641, 5906 SE Hawthorne Rd, Gainesville, FL 32641, United States",,,Gainesville
ChIJJRKqhzqh6IgR9dMQbHKbQfY,Eastwood Meadows,"925 SE 43rd St APT 38, Gainesville, FL 32641, United States",,,Gainesville
ChIJv-bQlKW96IgRBAj4OisCWAA,Haile Meeting Hall,"5100 SW 91st Terrace, Gainesville, FL 32608, United States",(352) 371-1600,https://www.visitgainesville.com/groups-meetings/venues/listing/plantation-hall-in-the-haile-village-center/,Gainesville
ChIJG-TuGc7J5YgREKcwX-KKSW8,Epping Forest Yacht Club,"1830 Epping Forest Dr, Jacksonville, FL 32217, United States",(904) 739-7200,http://www.efyc.com/,Gainesville
ChIJOXy0Dj296IgRda053v046Hc,Seafood Dock,"6791 W Newberry Rd, Gainesville, FL 32605, United States",(352) 672-6668,https://www.toasttab.com/seafood-dock-6791-w-newberry-rd,Gainesville
ChIJl3s-YWLE6IgRE5aIHMBlkx8,Seven Hills Farm,"3270 SE Co Rd 337, Trenton, FL 32693, United States",(352) 745-0602,http://sevenhillsfarmtrenton.com/,Gainesville
ChIJ-93LUzHW5YgRqEHbCk2YfoM,The Manor at 12 Oaks Farm,"5255 County Rd 209 S, Green Cove Springs, FL 32043, United States",(904) 657-2290,http://themanor12oaks.com/,Gainesville
ChIJr6kW2Aak6IgRrE7AV5dx4rY,Martin Luther King Jr. Multipurpose Center,"1028 Northeast 14th Street, Gainesville, FL 32601, United States",(352) 334-5053,https://www.gainesvillefl.gov/Venues/Martin-Luther-King-Jr.-Multipurpose-Center,Gainesville
ChIJe816_j-j6IgR3taUoqekpuw,Southwest Recreation Center,"3150 Hull Rd, Gainesville, FL 32611, United States",(352) 846-1081,https://recsports.ufl.edu/locations/southwest-recreation-center/,Gainesville
ChIJBSs6a_WP9YgRmOLpJkwFzBY,Freedom Boat Club Lake Lanier - Bald Ridge Marina,"Bald Ridge Marina, 1850 Bald Ridge Marina Rd, Cumming, GA 30041, United States",(912) 244-4281,https://www.freedomboatclub.com/franchises/gml-inc/lake-lanier-bald-ridge-marina?class4=10607&class7=5130,Gainesville
ChIJbwIaOABf74gRXbJSxkDijzQ,The Iron Vine,"14850 Ever After Dr, Sanderson, FL 32087, United States",(904) 200-3247,http://www.theironvinefl.com/,Gainesville
ChIJk-Ena8yj6IgRd4uM_AVWZsQ,Sweetwater Wetlands Park,"325 SW Williston Rd, Gainesville, FL 32601, United States",(352) 554-5871,https://www.gainesvillefl.gov/Parks/Sweetwater-Wetlands-Park,Gainesville
ChIJjwYylFGj6IgR3ew0cp_yF00,Gators Dockside Gainesville,"3842 Newberry Rd #1a, Gainesville, FL 32607, United States",(352) 338-4445,http://www.gatorsdockside.com/,Gainesville
ChIJ_aHU15Kj6IgROdcp7P7ZODI,Depot Park,"874 SE 4th St, Gainesville, FL 32601, United States",(352) 393-8510,http://www.depotpark.org/,Gainesville
ChIJm1dRb6rv5YgR5lZyIGD1-Ks,All 4 One Farms,"5937 John Wilkinson Rd, Jacksonville, FL 32234, United States",(904) 474-9507,http://all4onefarms.com/,Gainesville
ChIJx00w8KOj6IgRWyQoCGqYL24,Home2 Suites by Hilton Gainesville Medical Center,"2115 SW 13th St, Gainesville, FL 32608, United States",(352) 372-1025,https://www.hilton.com/en/hotels/gnvthht-home2-suites-gainesville-medical-center/?SEO_id=GMB-AMER-HT-GNVTHHT&y_source=1_MzA4OTA3Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Gainesville
ChIJ1ZONohOS9YgRxuCvPoii6xc,Freedom Boat Club,"6900 Lanier Islands Pkwy, Buford, GA 30518, United States",(888) 781-7363,https://www.freedomboatclub.com/,Gainesville
ChIJcX6NVGCj6IgRdlAyMcGLNec,Las Carretas Mexican Restaurant Gainesville,"3501 SW 2nd Ave, Gainesville, FL 32607, United States",(352) 331-6337,https://www.lascarretasmexicanrest.com/,Gainesville
ChIJnTQXHrLQ5YgRFgZD6vlv6kI,Clay Theatre,"326 Walnut St, Green Cove Springs, FL 32043, United States",(904) 419-7094,http://www.claytheatre.com/,Gainesville
ChIJ808jB22k6IgRNuIxvrEjWgE,Happy Kiss Pole Dance,"501 NW 23rd Ave Suite B, Gainesville, FL 32609, United States",(352) 448-1128,http://www.happykisspoledance.com/,Gainesville
ChIJKcZV3POj6IgRv7OgojldB68,Sweetwater Branch Inn Lodging & Events,"625 E University Ave, Gainesville, FL 32601, United States",(352) 373-6760,https://sweetwaterinn.com/,Gainesville
ChIJJ82K37ii6IgRPw3rdWbgtqY,Gainesville Country Club,"7300 SW 35th Way, Gainesville, FL 32608, United States",(352) 372-1458,,Gainesville
ChIJoYZvdQCj6IgR7B0S21eCNpA,Downtown Gainesville,"33 N Main St, Gainesville, FL 32601, United States",(352) 374-5260,https://www.exploregainesville.org/downtown-gainesville/,Gainesville
ChIJ2-LhlIyj6IgRQ8m7dbD2M2I,The TOP,"30 N Main St, Gainesville, FL 32601, United States",(352) 337-1188,http://www.thetophub.com/,Gainesville
ChIJ05pRW2yj6IgRjcpeXaq3yA8,A Quinn Jones Museum & Cultural Center,"1013 NW 7th Ave, Gainesville, FL 32601, United States",(352) 334-2010,https://www.gainesvillefl.gov/Venues/A.-Quinn-Jones-Museum-Cultural-Center,Gainesville
ChIJjaoUwBqj6IgRGmgzBqpdVyM,Towne Parc Apartments,"2930 SW 23rd Terrace, Gainesville, FL 32608, United States",(352) 375-3072,https://www.towneparc.com/,Gainesville
ChIJ-0e6pWak6IgRXvmDK1pjEQw,Sam's Club,"4001 SW 30th Pl, Gainesville, FL 32608, United States",(352) 375-8853,https://www.samsclub.com/club/8155-gainesville-fl,Gainesville
ChIJh6v5t4yj6IgRhGnihKFfu1g,"Visit Gainesville, Alachua County, FL","33 N Main St, Gainesville, FL 32601, United States",(352) 374-5260,https://www.visitgainesville.com/,Gainesville
ChIJ861flvOj6IgRucAaXhdgWSg,Mode Salon,"603 E University Ave, Gainesville, FL 32601, United States",(352) 374-3883,http://www.themodesalon.com/,Gainesville
ChIJdZLk-wyj6IgRhpg9FN7gbyA,University of Florida,"Gainesville, FL 32611, United States",(352) 392-3261,https://www.ufl.edu/,Gainesville
ChIJaRI-I_am6IgRkdKyhtayPQE,Florida food service Ben E Keith Foods Florida,"5201 NE 40th Terrace, Gainesville, FL 32609, United States",(352) 372-3514,http://www.benekeith.com/,Gainesville
ChIJiwqDAqK16IgRJUrfNsuBCx0,Santa Fe River Ranch,"29220 NW 122nd St, Alachua, FL 32615, United States",(386) 365-9966,http://santaferiverranch.com/,Alachua
ChIJDwYjghWy6IgRAwvZFEwsz4M,C Bar Ranch and Organics,"22889 N State Rd 121, Alachua, FL 32615, United States",(904) 705-0780,http://www.cbarranchevents.com/,Alachua
ChIJWWJDyhe36IgRnUrbDF29-fs,The Swick House,"15100 NW 142 Terrace, Alachua, FL 32615, United States",(386) 418-0449,https://www.cityofalachua.com/government/recreation-culture/rentals/swick-house,Alachua
ChIJ2WdZ7OK16IgRxcN079vtxHk,Valley View,"26001 NW 122nd St, Alachua, FL 32615, United States",(386) 365-9966,http://www.valleyview.com/,Alachua
ChIJZYb88f256IgRYusatVheBM8,Oak Lane Weddings & Events,"7827 NW 170th St, Alachua, FL 32615, United States",(352) 474-1160,https://oaklaneweddingsandevents.com/,Alachua
ChIJXyHk_zi36IgRlE6G02R_YqY,The Manor on Main Street,"14603 Main St, Alachua, FL 32615, United States",(352) 681-8481,https://www.themanoronmainstreet.com/,Alachua
ChIJn6Fqm0a56IgRBZTw4VcmX3g,Stonewood Events,"15728 NW 78th Ave, Alachua, FL 32615, United States",(352) 262-4626,https://stonewoodevents.com/,Alachua
ChIJfwKla3Ow6IgR_Y9vfN-BNAc,Turkey Creek Event Center,"733 Turkey Creek Blvd, Alachua, FL 32615, United States",(386) 518-6332,,Alachua
ChIJbVnDgtC26IgRxo9ABNOKlo4,The Barn at Rembert Farms,"13014 NW 174th Ave, Alachua, FL 32615, United States",(352) 317-4363,http://www.rembertfarms.com/,Alachua
ChIJ741OfBO36IgRiGvCtPicvIA,City of Alachua Recreation Department,"15400 Peggy Rd, Alachua, FL 32615, United States",(386) 462-1610,https://www.cityofalachua.com/government/recreation-culture,Alachua
ChIJV8I0aj636IgRgcQpJ-oN1JM,Alachua Woman’s Club,"14565 Main St, Alachua, FL 32615, United States",(386) 365-6136,https://alachuawomansclub.org/,Alachua
ChIJ64fewIKj6IgRrxdbMCRPO-E,Downtown Event Space,"221 SE 7th St, Gainesville, FL 32601, United States",(352) 373-4535,http://www.laureloakinn.com/,Alachua
ChIJ_82OyYCs6IgR1BQzkX0TNP8,Belle Oaks Barn,"11800 SW 157th Ln, Brooker, FL 32622, United States",(352) 538-3905,http://www.belleoaksbarn.com/,Alachua
ChIJSRi1o5xT74gR0SAty2JAnDo,Pine Grove Barn at Shadd Farms,"14207 NW 102nd Trail, Lake Butler, FL 32054, United States",(352) 258-0558,https://www.pine-grove-barn.com/,Alachua
ChIJsfWOC0m96IgR6hK2ysRp0cU,Alachua County Sports & Event Center,"4870 Celebration Pointe Ave, Gainesville, FL 32608, United States",(833) 258-7356,https://alachua-sports.com/,Alachua
