ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJqdK3FfWj6IgRWutG7CpuNy4,Thomas Center,"302 NE 6th Ave, Gainesville, FL 32601, United States",(352) 334-5067,http://www.historicthomascenter.org/,Gainesville
ChIJkwUtSe6j6IgRvVPNiMab8HY,The Cotton Club Museum and Cultural Center,"837 SE 7th Ave, Gainesville, FL 32601, United States",(352) 226-8321,http://www.cottonclubmuseum.com/,Gainesville
ChIJV1saDj-j6IgRCzNOsYSBymw,Harn Museum of Art,"3259 Hull Rd, Gainesville, FL 32608, United States",(352) 392-9826,https://harn.ufl.edu/,Gainesville
ChIJCxgEbpOj6IgRX2GBPVg5Xik,Cade Museum for Creativity & Invention,"811 S Main St, Gainesville, FL 32601, United States",(352) 371-8001,http://www.cademuseum.org/,Gainesville
ChIJPYBPDyKl6IgRVLy0vO4XUhE,Theatre of Memory,"1705 NW 6th St, Gainesville, FL 32609, United States",(352) 318-2633,http://theatreofmemory.org/,Gainesville
ChIJeSPyiSG96IgR2jOXrLAuHO4,Kanapaha Botanical Gardens,"4700 SW 58th Dr, Gainesville, FL 32608, United States",(352) 372-4981,http://www.kanapaha.org/,Gainesville
ChIJTxFAS3a76IgR9FY2lw3G9qY,Kika Silva Pla Planetarium at Santa Fe College,"3000 NW 83 St Building X-129, Gainesville, FL 32606, United States",(352) 395-5381,http://www.sfcollege.edu/planetarium/,Gainesville
ChIJ7ZKso_Oj6IgRQ2J3pXeiNAU,Matheson History Museum,"513 E University Ave, Gainesville, FL 32601, United States",(352) 378-2280,http://www.mathesonmuseum.org/,Gainesville
ChIJ05pRW2yj6IgRjcpeXaq3yA8,A Quinn Jones Museum & Cultural Center,"1013 NW 7th Ave, Gainesville, FL 32601, United States",(352) 334-2010,https://www.gainesvillefl.gov/Venues/A.-Quinn-Jones-Museum-Cultural-Center,Gainesville
ChIJAz7Vkp2j6IgRE1ICOmeeHYk,Research & Collections at the Florida Museum of Natural History,"1659 Museum Rd, Gainesville, FL 32611, United States",(352) 392-1721,https://www.floridamuseum.ufl.edu/nhdept/visiting-dickinson-hall/,Gainesville
ChIJ64fewIKj6IgRrxdbMCRPO-E,Downtown Event Space,"221 SE 7th St, Gainesville, FL 32601, United States",(352) 373-4535,http://www.laureloakinn.com/,Gainesville
ChIJzxYY4D6j6IgR_8e2KNtoHmU,McGuire Center for Lepidoptera & Biodiversity,"Florida Museum of Natural History, 3215 Hull Rd, Gainesville, FL 32611, United States",(352) 392-5894,http://www.floridamuseum.ufl.edu/mcguire/,Gainesville
ChIJe2iLt_Oj6IgR2XFe74xsDR0,Historic Matheson House,"528 SE 1st Ave, Gainesville, FL 32601, United States",(352) 378-2280,http://www.mathesonmuseum.org/,Gainesville
ChIJWYcjKe2j6IgRzCNcfa3iQ-s,The Depot Event Space,"201 SE Depot Ave, Gainesville, FL 32601, United States",(352) 278-1178,https://www.thetopsecretevents.com/the-depot,Gainesville
ChIJi_vzq2uj6IgRTZ_kgHleafE,Baughman Center,"982 Museum Rd, Gainesville, FL 32603, United States",(352) 294-0049,https://performingarts.ufl.edu/venues/baughman-center/,Gainesville
ChIJ2za8HD-j6IgR12iGlq5JFqA,Florida Museum of Natural History,"3215 Hull Rd, Gainesville, FL 32611, United States",(352) 846-2000,https://www.floridamuseum.ufl.edu/,Gainesville
