ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJMS-RVoyj6IgRzqu7a1PUf4c,Loosey's Downtown Gainesville,"120 SW 1st Ave, Gainesville, FL 32601, United States",(352) 672-6465,http://www.looseys.com/,Gainesville
ChIJVcxAPo2j6IgRAHczJMaDywg,The Midnight Underground,"101 SE 2nd Pl #100, Gainesville, FL 32601, United States",(352) 672-6113,,Gainesville
ChIJ8fqT-4yj6IgRzHz1ig4CzBI,The Bull,"18 SW 1st Ave, Gainesville, FL 32601, United States",(352) 672-6266,http://www.thebull-gnv.com/,Gainesville
ChIJpRSBsY2j6IgRugXoTUGeRIc,High Dive,"210 SW 2nd Ave, Gainesville, FL 32601, United States",(352) 872-5949,http://highdivegainesville.com/,Gainesville
ChIJHzuryomj6IgRA_GtuCf13kA,Baby J’s Bar,"7 W University Ave, Gainesville, FL 32601, United States",(352) 505-5039,https://www.babyjsbar.com/,Gainesville
ChIJQaBFYDa76IgRJC-D1W5NMs8,Crafty Bastards Restaurant,"4860 NW 39th Ave A, Gainesville, FL 32606, United States",(352) 872-5970,http://thecraftybastards.com/,Gainesville
ChIJCURNZYKj6IgRX0Ismyjwfas,The Swamp Restaurant,"1104 SW 2nd Ave, Gainesville, FL 32601, United States",(352) 377-9267,https://www.swamprestaurant.com/?utm_source=google+organic&utm_medium=my-business&utm_campaign=swamp-gmb-organic-search,Gainesville
ChIJeWQGOY2j6IgRolwm3higq5w,The Backyard at Boca Fiesta & Palomino,"232 1/2, SE 1st St, Gainesville, FL 32601, United States",,http://thebackyardgnv.com/,Gainesville
ChIJCQWagjCj6IgRrl321v-25OE,Spurrier's Gridiron Grille,"4860 Steve Spurrier Way, Gainesville, FL 32608, United States",(352) 500-4422,http://spurriers.com/,Gainesville
ChIJRd40OI2j6IgRoUV2RHI48bU,Boca Fiesta,"232 SE 1st St, Gainesville, FL 32601, United States",(352) 336-8226,http://www.bocafiesta.com/,Gainesville
ChIJcbYA9umk6IgRR6l1o9C7hI4,One Love Cafe,"4989 Northwest 40th Place, Gainesville, FL 32606, United States",(352) 509-3131,http://www.onelovecafegainesville.com/,Gainesville
ChIJV-F2HbGj6IgRQZOBe8PRgaU,Vecinos Neighborhood Restaurant & Bar,"208 W University Ave, Gainesville, FL 32601, United States",(352) 240-6325,,Gainesville
ChIJ0eY99h2k6IgRBvM-ZQltMk8,Lightnin' Salvage Enterprises,"1800 NE 23rd Ave, Gainesville, FL 32609, United States",(352) 395-6622,http://lightninsalvage.com/,Gainesville
ChIJ9-_jREmj6IgRmgNmfyywTuU,Tinker Latin Restaurant - Main St.,"502 S Main St, Gainesville, FL 32601, United States",(352) 225-3563,http://tinkerfoodtruck.com/,Gainesville
ChIJ0eY99h2k6IgRILAjo-PIX0U,Satchel's Pizza,"1800 NE 23rd Ave, Gainesville, FL 32609, United States",(352) 335-7272,http://www.satchelspizza.com/,Gainesville
ChIJW1FjsMyj6IgRznPCOgyMQX0,Ford's Garage Gainesville,"3650 SW 32nd Ct Suite 20, Gainesville, FL 32608, United States",(352) 657-3673,https://www.fordsgarageusa.com/locations/gainesville/,Gainesville
ChIJ2-LhlIyj6IgRQ8m7dbD2M2I,The TOP,"30 N Main St, Gainesville, FL 32601, United States",(352) 337-1188,http://www.thetophub.com/,Gainesville
ChIJwcIl25Kj6IgRmhvuFDY2jig,Heartwood Soundstage,"619 S Main St, Gainesville, FL 32601, United States",(352) 448-4849,http://www.heartwoodsoundstage.com/,Gainesville
ChIJ_U3n_KGj6IgRqXgENHKcFkA,Covey Kitchen + Cocktails,"1514 SW 14th St, Gainesville, FL 32608, United States",(352) 565-3536,https://www.hoteleleo.com/covey-kitchen-cocktails?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,Gainesville
