ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJldVo4Buj6IgR_Z1juTcLt9g,Regal Celebration Pointe 10 & RPX,"4901 Steve Spurrier Way, Gainesville, FL 32608, United States",(844) 462-7342,https://www.regmovies.com/theatres/regal-celebration-pointe-rpx-1416?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,Gainesville
ChIJi52LUSWj6IgRhUD1MLfRZNI,Regal Butler Town Center,"3101 SW 35th Blvd, SW Deborah Butler Ct, Gainesville, FL 32608, United States",(844) 462-7342,https://www.regmovies.com/theatres/regal-butler-town-center-0219?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,Gainesville
ChIJHxGlU1Cj6IgRQhXYlAxWUzI,Regal Royal Park,"3702 Newberry Rd, Gainesville, FL 32607, United States",(844) 462-7342,https://www.regmovies.com/theatres/regal-royal-park-1860?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,Gainesville
ChIJTfruNo2j6IgRVxCVkN7eI0k,Hippodrome Theatre,"25 SE 2nd Pl, Gainesville, FL 32601, United States",(352) 375-4477,http://www.thehipp.org/,Gainesville
ChIJKbTTCK2k6IgRuQPduDjKd18,Gainesville Community Playhouse,"4039 NW 16th Blvd, Gainesville, FL 32605, United States",(352) 376-4949,http://www.gcplayhouse.org/,Alachua
ChIJv-AQuBSj6IgR63WspiH58iI,Curtis M. Phillips Center for the Performing Arts,"3201 Hull Rd, Gainesville, FL 32611, United States",(352) 392-2787,https://performingarts.ufl.edu/,Alachua
ChIJIybCr7K36IgRaY6oi8WrLAI,Legacy Park Amphitheater,"Alachua, FL 32615, United States",(386) 462-1610,https://www.cityofalachua.com/Home/Components/FacilityDirectory/FacilityDirectory/6/,Alachua
ChIJldVo4Buj6IgR_Z1juTcLt9g,Regal Celebration Pointe 10 & RPX,"4901 Steve Spurrier Way, Gainesville, FL 32608, United States",(844) 462-7342,https://www.regmovies.com/theatres/regal-celebration-pointe-rpx-1416?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,Alachua
ChIJ2WdZ7OK16IgRxcN079vtxHk,Valley View,"26001 NW 122nd St, Alachua, FL 32615, United States",(386) 365-9966,http://www.valleyview.com/,Alachua
ChIJTfruNo2j6IgRVxCVkN7eI0k,Hippodrome Theatre,"25 SE 2nd Pl, Gainesville, FL 32601, United States",(352) 375-4477,http://www.thehipp.org/,Alachua
ChIJi52LUSWj6IgRhUD1MLfRZNI,Regal Butler Town Center,"3101 SW 35th Blvd, SW Deborah Butler Ct, Gainesville, FL 32608, United States",(844) 462-7342,https://www.regmovies.com/theatres/regal-butler-town-center-0219?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,Alachua
ChIJ_VkuOqXJ6IgRuZKJHvEKsbY,High Springs Playhouse,"23416 W U.S. Hwy 27, High Springs, FL 32643, United States",(386) 454-3525,http://highspringsplayhouse.com/,Alachua
ChIJHxGlU1Cj6IgRQhXYlAxWUzI,Regal Royal Park,"3702 Newberry Rd, Gainesville, FL 32607, United States",(844) 462-7342,https://www.regmovies.com/theatres/regal-royal-park-1860?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,Alachua
ChIJV7k4lD236IgRPsXYZecJWGQ,Alan Hitchcock Theatre Park,"14900 Main St, Alachua, FL 32615, United States",(386) 462-1610,https://www.cityofalachua.com/government/recreation-culture/parks/alan-hitchcock-theatre-park,Alachua
ChIJeRly2pKj6IgRGq8XD9wSML8,Acrosstown Repertory Theatre,"3501 SW 2nd Ave STE O, Gainesville, FL 32607, United States",(352) 278-9065,http://acrosstown.org/,Alachua
ChIJ_0m8J22k6IgRSL_GYDYB2yc,Star Center Theatre,"11 NE 23rd Ave, Gainesville, FL 32609, United States",(352) 378-3311,http://www.starcentertheatre.org/,Alachua
ChIJKbTTCK2k6IgRpFQzP4dTJYg,Vam York Theater,"4039 NW 16th Blvd, Gainesville, FL 32605, United States",(352) 376-4949,http://www.gcplayhouse.org/,Alachua
ChIJo1nbRoyj6IgR8T3tIFARSSI,Florida Theater,"233 W University Ave, Gainesville, FL 32601, United States",(904) 355-5661,,Alachua
ChIJeTFUizij6IgRbOJkzSKSrGM,Squitieri Studio Theatre,"3201 Hull Rd, Gainesville, FL 32607, United States",(352) 392-1900,http://performingarts.ufl.edu/venues/,Alachua
ChIJ3c_RtqXJ6IgRO2VivXNMocE,Priest Theater,"15 NW 1st St, High Springs, FL 32643, United States",(386) 454-7469,,Alachua
ChIJldVo4Buj6IgR_Z1juTcLt9g,Regal Celebration Pointe 10 & RPX,"4901 Steve Spurrier Way, Gainesville, FL 32608, United States",(844) 462-7342,https://www.regmovies.com/theatres/regal-celebration-pointe-rpx-1416?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,Newberry
ChIJHxGlU1Cj6IgRQhXYlAxWUzI,Regal Royal Park,"3702 Newberry Rd, Gainesville, FL 32607, United States",(844) 462-7342,https://www.regmovies.com/theatres/regal-royal-park-1860?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,Newberry
ChIJi52LUSWj6IgRhUD1MLfRZNI,Regal Butler Town Center,"3101 SW 35th Blvd, SW Deborah Butler Ct, Gainesville, FL 32608, United States",(844) 462-7342,https://www.regmovies.com/theatres/regal-butler-town-center-0219?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,Newberry
ChIJTfruNo2j6IgRVxCVkN7eI0k,Hippodrome Theatre,"25 SE 2nd Pl, Gainesville, FL 32601, United States",(352) 375-4477,http://www.thehipp.org/,Newberry
ChIJW0kbzY3WV4gRKcg34yfjJWs,Newberry Opera House,"1201 McKibben St, Newberry, SC 29108, United States",(803) 276-6264,http://www.newberryoperahouse.com/,Newberry
ChIJd4HLSo7WV4gRsIxg70JhA54,Ritz Theatre,"1511 Main St, Newberry, SC 29108, United States",(803) 597-1636,,Newberry
ChIJ_VkuOqXJ6IgRuZKJHvEKsbY,High Springs Playhouse,"23416 W U.S. Hwy 27, High Springs, FL 32643, United States",(386) 454-3525,http://highspringsplayhouse.com/,Newberry
ChIJeRly2pKj6IgRGq8XD9wSML8,Acrosstown Repertory Theatre,"3501 SW 2nd Ave STE O, Gainesville, FL 32607, United States",(352) 278-9065,http://acrosstown.org/,Newberry
ChIJ3YrC8ytySU0RsTILAUPVL2w,Tahqua-Land Theatre,"212 Newberry Ave, Newberry, MI 49868, United States",(906) 293-7081,https://www.tahquatheater.com/,Newberry
ChIJpZyXaOnXV4gRHWNiFYA2EXw,MTD Arthouse Theatre,"1121 Caldwell St, Newberry, SC 29108, United States",,http://mtdarthouse.com/,Newberry
ChIJVzacwxvB6IgRfFnyT0QMddI,Newberry Main Street Org,"25435 W Newberry Rd, Newberry, FL 32669, United States",(352) 472-2112,https://newberrymainstreet.com/,Newberry
ChIJC7o1rd7B6IgRay4gs0Oqbho,Easton-Newberry Sports Complex,"Newberry Sports Complex North, 24880 NW 16th Ave, Newberry, FL 32669, United States",(352) 472-2388,http://www.ci.newberry.fl.us/,Newberry
