ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJHWBuq9p654gR5Pz28aJykCc,The Plaza Live,"425 N Bumby Ave, Orlando, FL 32803, United States",(407) 228-1220,https://www.plazaliveorlando.org/,[object Object]
ChIJ-5oB8T_n2YgRzNRCnzbCO-s,Seminole Theatre,"18 N Krome Ave, Homestead, FL 33030, United States",(786) 650-2073,http://www.seminoletheatre.org/,[object Object]
ChIJHWBuq9p654gR5Pz28aJykCc,The Plaza Live,"425 N Bumby Ave, Orlando, FL 32803, United States",(407) 228-1220,https://www.plazaliveorlando.org/,[object Object]
ChIJ-5oB8T_n2YgRzNRCnzbCO-s,Seminole Theatre,"18 N Krome Ave, Homestead, FL 33030, United States",(786) 650-2073,http://www.seminoletheatre.org/,[object Object]
ChIJHWBuq9p654gR5Pz28aJykCc,The Plaza Live,"425 N Bumby Ave, Orlando, FL 32803, United States",(407) 228-1220,https://www.plazaliveorlando.org/,[object Object]
ChIJ-5oB8T_n2YgRzNRCnzbCO-s,Seminole Theatre,"18 N Krome Ave, Homestead, FL 33030, United States",(786) 650-2073,http://www.seminoletheatre.org/,[object Object]
ChIJHWBuq9p654gR5Pz28aJykCc,The Plaza Live,"425 N Bumby Ave, Orlando, FL 32803, United States",(407) 228-1220,https://www.plazaliveorlando.org/,[object Object]
ChIJ-5oB8T_n2YgRzNRCnzbCO-s,Seminole Theatre,"18 N Krome Ave, Homestead, FL 33030, United States",(786) 650-2073,http://www.seminoletheatre.org/,[object Object]
ChIJHWBuq9p654gR5Pz28aJykCc,The Plaza Live,"425 N Bumby Ave, Orlando, FL 32803, United States",(407) 228-1220,https://www.plazaliveorlando.org/,[object Object]
ChIJ-5oB8T_n2YgRzNRCnzbCO-s,Seminole Theatre,"18 N Krome Ave, Homestead, FL 33030, United States",(786) 650-2073,http://www.seminoletheatre.org/,[object Object]
ChIJHWBuq9p654gR5Pz28aJykCc,The Plaza Live,"425 N Bumby Ave, Orlando, FL 32803, United States",(407) 228-1220,https://www.plazaliveorlando.org/,[object Object]
ChIJ-5oB8T_n2YgRzNRCnzbCO-s,Seminole Theatre,"18 N Krome Ave, Homestead, FL 33030, United States",(786) 650-2073,http://www.seminoletheatre.org/,[object Object]
ChIJpRSBsY2j6IgRugXoTUGeRIc,High Dive,"210 SW 2nd Ave, Gainesville, FL 32601, United States",(352) 872-5949,http://highdivegainesville.com/,Gainesville
ChIJwcIl25Kj6IgRmhvuFDY2jig,Heartwood Soundstage,"619 S Main St, Gainesville, FL 32601, United States",(352) 448-4849,http://www.heartwoodsoundstage.com/,Gainesville
ChIJcRYsM_Oj6IgRWocTBP6Idsg,Bo Diddley Plaza,"111 E University Ave, Gainesville, FL 32601, United States",(352) 393-8202,https://www.gainesvillefl.gov/Venues/Bo-Diddley-Plaza,Gainesville
ChIJo_x-P3uj6IgRXwFwkl4TENc,South Main Station,"619 S Main St, Gainesville, FL 32601, United States",(352) 234-3250,https://www.southmainstationgnv.com/,Gainesville
ChIJTfruNo2j6IgRVxCVkN7eI0k,Hippodrome Theatre,"25 SE 2nd Pl, Gainesville, FL 32601, United States",(352) 375-4477,http://www.thehipp.org/,Gainesville
ChIJo1nbRoyj6IgR8T3tIFARSSI,Florida Theater,"233 W University Ave, Gainesville, FL 32601, United States",(904) 355-5661,https://www.floridatheatre.com/,Gainesville
ChIJeWQGOY2j6IgRolwm3higq5w,The Backyard at Boca Fiesta & Palomino,"232 1/2, SE 1st St, Gainesville, FL 32601, United States",,http://thebackyardgnv.com/,Gainesville
ChIJXzqBxxSj6IgRU2IaUzNKHgc,Vivid Music Hall,"201 W University Ave, Gainesville, FL 32601, United States",,https://www.vividmusichall.com/,Gainesville
ChIJKbTTCK2k6IgRuQPduDjKd18,Gainesville Community Playhouse,"4039 NW 16th Blvd, Gainesville, FL 32605, United States",(352) 376-4949,http://www.gcplayhouse.org/,Gainesville
ChIJ8fqT-4yj6IgRzHz1ig4CzBI,The Bull,"18 SW 1st Ave, Gainesville, FL 32601, United States",(352) 672-6266,http://www.thebull-gnv.com/,Gainesville
ChIJKbTTCK2k6IgRpFQzP4dTJYg,Vam York Theater,"4039 NW 16th Blvd, Gainesville, FL 32605, United States",(352) 376-4949,http://www.gcplayhouse.org/,Gainesville
ChIJv-AQuBSj6IgR63WspiH58iI,Curtis M. Phillips Center for the Performing Arts,"3201 Hull Rd, Gainesville, FL 32611, United States",(352) 392-2787,https://performingarts.ufl.edu/,Gainesville
