ID,Nombre,Dirección,Teléfono,Sitio Web,Ciudad
ChIJL45Ab3ux6IgRLYZSSRYMTPE,Beaker & Flask Wine Co.,"13800 Tech City Cir Ste 311, Alachua, FL 32615, United States",(352) 559-3395,http://www.beakerandflaskwinebar.com/,Gainesville
ChIJoTe-qNgd5ogRoNxoho71Vdc,Bluefield Estate Winery,"22 NE Co Rd 234, Gainesville, FL 32641, United States",(352) 337-2544,http://www.bluefieldestatewinery.com/,Gainesville
ChIJF0nr8ril6IgRnW702DQyCVc,superette,"1511 NW 2nd St, Gainesville, FL 32601, United States",(352) 451-4144,http://superettegnv.com/,Gainesville
ChIJuTaEoEEj5ogR6_gH9lwOL1k,Island Grove Wine Company,"24703 SE 193rd Ave, Hawthorne, FL 32640, United States",(352) 481-9463,http://www.islandgrovewinecompany.com/,Gainesville
ChIJ8x9zZzAh5ogR_TlXLaHVQnU,Island Grove Wine Co Tasting House,"21848 S Co 325 Hwy, Hawthorne, FL 32640, United States",(352) 481-1012,http://islandgrovetastinghouse.com/,Gainesville
ChIJVbyae3Kj6IgRgQyYbWIjXeQ,The Traveler,"101 SE 2nd Pl #108, Gainesville, FL 32601, United States",(352) 757-2985,https://www.thetravelerbar.com/,Gainesville
ChIJxS8OFl-l6IgRgWVuHUYhHnU,Serpentine Plants + Provisions,"209 NW 10th Ave, Gainesville, FL 32601, United States",(352) 451-4028,http://www.serpentineshop.com/,Gainesville
ChIJ8fqT-4yj6IgRzHz1ig4CzBI,The Bull,"18 SW 1st Ave, Gainesville, FL 32601, United States",(352) 672-6266,http://www.thebull-gnv.com/,Gainesville
ChIJv70esNxltokRMxDHcrmTtpQ,The Winery at Sunshine Ridge Farm,"15850 Sunshine Rdg Ln, Gainesville, VA 20155, United States",(703) 753-9500,https://www.thewineryatsunshineridgefarms.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Gainesville
ChIJ68v4jGD39YgRe52A5t7veHo,Cork It Gainesville,"118 Main St SW, Gainesville, GA 30501, United States",(470) 262-3773,http://corkitgainesville.com/,Gainesville
ChIJBZLzkfr-TIYRWp2E6VNgq_c,Deschain Cellars and Winery,"8363 US-82, Gainesville, TX 76240, United States",(940) 202-9011,https://deschaincellars.com/,Gainesville
